,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
504,31071,3.9983869,3.93705,59.411396,58.500004,0.5274936,0.9113922,"Garfield County, NE"
505,31073,4.239072,5.08115,62.987694,75.5,0.43421882,-12.512306,"Gosper County, NE"
506,31077,4.082081,4.32066,60.65499,64.200005,0.42477947,-3.5450134,"Greeley County, NE"
507,31083,4.294551,4.82541,63.81205,71.7,0.5002858,-7.887947,"Harlan County, NE"
508,31093,4.155489,4.73119,61.74575,70.3,0.42307177,-8.554253,"Howard County, NE"
509,31101,3.7346687,4.13895,55.49285,61.5,0.69569594,-6.0071487,"Keith County, NE"
510,31107,4.0414643,3.54671,60.051476,52.7,0.3790721,7.351475,"Knox County, NE"
511,31109,4.024744,3.73515,59.803032,55.500004,0.3684548,4.303028,"Lancaster County, NE"
512,31111,3.8979158,4.48891,57.918514,66.700005,0.68684965,-8.78149,"Lincoln County, NE"
513,31113,3.7753367,4.4418,56.09713,66.0,0.5907724,-9.90287,"Logan County, NE"
514,31119,4.1856966,4.15914,62.1946,61.800003,0.30232042,0.3945961,"Madison County, NE"
515,31125,4.125975,4.54275,61.30721,67.5,0.35687664,-6.192791,"Nance County, NE"
516,31127,4.0253315,4.18606,59.81176,62.2,0.31361148,-2.3882408,"Nemaha County, NE"
517,31131,4.029612,3.95051,59.875366,58.7,0.30277187,1.1753654,"Otoe County, NE"
518,31133,3.729157,3.29097,55.41095,48.9,0.36222854,6.510948,"Pawnee County, NE"
519,31135,3.6986356,3.78226,54.95744,56.2,0.77374816,-1.2425613,"Perkins County, NE"
520,31137,4.5991693,4.90617,68.338326,72.9,0.32282814,-4.561676,"Phelps County, NE"
521,31139,4.02409,3.78226,59.793312,56.2,0.34177685,3.5933113,"Pierce County, NE"
522,31141,4.3340507,4.36777,64.39897,64.9,0.2963982,-0.50102997,"Platte County, NE"
523,31147,4.0310555,3.96397,59.896812,58.9,0.27299592,0.9968109,"Richardson County, NE"
524,31153,4.2091417,4.13222,62.54297,61.399998,0.2971502,1.142971,"Sarpy County, NE"
525,31155,4.2491355,4.19952,63.13723,62.4,0.2823207,0.7372284,"Saunders County, NE"
526,31159,4.378537,4.5091,65.05999,67.0,0.2881661,-1.9400101,"Seward County, NE"
527,31161,2.5548186,3.47941,37.961643,51.7,0.4944474,-13.738358,"Sheridan County, NE"
528,31163,4.0728316,4.67062,60.51756,69.4,0.3927654,-8.882442,"Sherman County, NE"
529,31169,4.2379827,4.01108,62.97151,59.6,0.5033519,3.3715134,"Thayer County, NE"
530,31173,4.3427725,4.08511,64.528564,60.700005,0.26136506,3.8285599,"Thurston County, NE"
531,31175,4.176719,4.63697,62.061207,68.9,0.35397613,-6.8387947,"Valley County, NE"
532,31177,4.258746,4.28028,63.280033,63.600002,0.21257555,-0.31996918,"Washington County, NE"
533,31185,4.478181,4.66389,66.54058,69.299995,0.29965946,-2.7594147,"York County, NE"
534,38001,1.4497249,1.07007,21.541233,15.900001,0.44952524,5.6412325,"Adams County, ND"
535,38003,2.3236556,2.12668,34.52683,31.599998,0.17394982,2.9268303,"Barnes County, ND"
536,38005,1.885351,1.37965,28.01413,20.5,0.17098342,7.5141296,"Benson County, ND"
537,38009,1.8722644,1.35273,27.81968,20.1,0.19327146,7.719679,"Bottineau County, ND"
538,38013,1.8626199,1.4806,27.676373,22.0,0.21103367,5.6763725,"Burke County, ND"
539,38015,1.9789371,0.93547,29.404713,13.9,0.20860979,15.504713,"Burleigh County, ND"
540,38017,2.5749311,2.25455,38.260494,33.5,0.19663744,4.760494,"Cass County, ND"
541,38019,1.8055856,1.89786,26.82891,28.2,0.14111026,-1.3710899,"Cavalier County, ND"
542,38021,2.6923022,2.18052,40.00449,32.4,0.24762791,7.6044884,"Dickey County, ND"
543,38023,1.4125075,0.91528,20.988226,13.6,0.2418834,7.3882256,"Divide County, ND"
544,38027,1.9873018,1.346,29.529001,20.0,0.2104582,9.529001,"Eddy County, ND"
545,38029,2.1833766,1.38638,32.442444,20.6,0.24808347,11.842443,"Emmons County, ND"
546,38031,2.0798945,1.39311,30.904823,20.7,0.20875622,10.204823,"Foster County, ND"
547,38035,2.150773,1.97189,31.957994,29.3,0.1639877,2.6579952,"Grand Forks County, ND"
548,38039,2.160077,1.7498,32.09624,26.0,0.18156496,6.096241,"Griggs County, ND"
549,38041,1.7960663,1.33927,26.687464,19.9,0.45159116,6.787464,"Hettinger County, ND"
550,38043,1.9986196,1.49406,29.69717,22.2,0.21124652,7.4971695,"Kidder County, ND"
551,38045,2.4093766,2.11322,35.800545,31.4,0.17869195,4.400545,"LaMoure County, ND"
552,38047,2.0630996,1.53444,30.65527,22.800001,0.2056431,7.8552685,"Logan County, ND"
553,38049,1.8383398,1.07007,27.3156,15.900001,0.19026075,11.415599,"McHenry County, ND"
554,38051,2.075364,1.33927,30.837505,19.9,0.20896335,10.937506,"McIntosh County, ND"
555,38053,1.3372388,0.9422,19.86982,14.0,0.29229656,5.8698196,"McKenzie County, ND"
556,38055,1.8434932,0.94893,27.392174,14.1,0.17005704,13.292173,"McLean County, ND"
557,38057,1.8884802,0.673,28.060627,10.0,0.22464155,18.060627,"Mercer County, ND"
