,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
153,18139,13.1288805,12.70624,195.07996,188.8,0.38625446,6.279953
154,18141,11.955572,10.04116,177.64595,149.2,0.6118034,28.445953
155,18143,10.63074,9.57006,157.96048,142.2,0.6257592,15.760483
156,18145,12.29246,11.1045,182.65172,165.0,0.42327714,17.651718
157,18147,10.91039,10.03443,162.11575,149.09999,0.58867043,13.015762
158,18149,11.079997,9.60371,164.63591,142.7,0.7787492,21.935913
159,18151,10.652518,9.93348,158.28407,147.6,0.6965609,10.684067
160,18153,12.171657,11.04393,180.8567,164.1,0.49379188,16.756699
161,18155,10.734312,10.64686,159.49944,158.2,0.81073844,1.2994385
162,18159,13.482508,13.35905,200.33444,198.5,0.37816045,1.8344421
163,18161,13.008891,11.91883,193.29704,177.1,0.43823302,16.197037
164,18163,11.55931,10.3642,171.75795,154.0,0.53078336,17.75795
165,18165,12.877887,13.29175,191.35048,197.5,0.49350578,-6.149521
166,18169,12.611857,11.93229,187.39758,177.3,0.48954788,10.09758
167,18171,13.760292,14.28779,204.46199,212.3,0.43532145,-7.8380127
168,18173,10.333404,9.05858,153.5424,134.6,0.5859733,18.942398
169,18175,10.651112,9.94694,158.26317,147.8,0.6277969,10.463165
170,18177,11.868954,11.25256,176.3589,167.2,0.53876925,9.158905
171,18181,13.318545,12.73316,197.89815,189.2,0.4218812,8.698151
172,18183,11.485736,10.84876,170.66472,161.2,0.63079715,9.464722
173,19001,11.63271,12.80719,172.8486,190.3,0.49672195,-17.4514
174,19003,11.532002,12.61202,171.35219,187.4,0.53577125,-16.047806
175,19005,12.590844,13.80323,187.08536,205.1,0.49436748,-18.014648
176,19007,11.547778,12.53799,171.5866,186.3,0.6014012,-14.713409
177,19009,12.59876,13.87053,187.20297,206.1,0.42632413,-18.897034
178,19011,13.926759,13.45327,206.9355,199.9,0.38125092,7.035507
179,19013,13.06994,13.89072,194.20416,206.40001,0.42487532,-12.195847
