,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
381,20177,12.631136,0.0,187.68404,0.0,0.53375906,187.68404
382,20179,8.4078045,0.0,124.93023,0.0,0.9306629,124.93023
383,20181,8.62246,0.0,128.11977,0.0,1.018467,128.11977
384,20183,10.707246,0.0,159.09726,0.0,0.75946295,159.09726
385,20185,12.266875,0.0,182.27155,0.0,0.9752683,182.27155
386,20187,10.288169,0.0,152.87027,0.0,1.1681765,152.87027
387,20189,13.372181,0.0,198.69511,0.0,1.2197716,198.69511
388,20191,10.253821,0.0,152.35991,0.0,0.79647017,152.35991
389,20193,7.579404,0.0,112.621155,0.0,0.9172196,112.621155
390,20195,7.6972613,0.0,114.37238,0.0,1.0115279,114.37238
391,20197,12.277909,0.0,182.4355,0.0,0.54265153,182.4355
392,20199,7.558664,0.0,112.31299,0.0,0.9255402,112.31299
393,20201,11.85151,0.0,176.0997,0.0,0.59490985,176.0997
394,20203,7.4938188,0.0,111.349464,0.0,0.93421584,111.349464
395,20205,10.334517,0.0,153.55894,0.0,0.821946,153.55894
396,20207,11.485551,0.0,170.66197,0.0,0.7131961,170.66197
397,20209,12.415009,0.0,184.47264,0.0,0.6917329,184.47264
398,26001,10.132334,0.0,150.55473,0.0,0.74434596,150.55473
399,26005,12.227838,0.0,181.6915,0.0,0.7516373,181.6915
400,26007,10.5052595,0.0,156.09598,0.0,0.71409684,156.09598
