,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
417,46101,58.165993,53.9,2.2570136
418,29059,43.7643,47.0,4.8124557
419,19119,62.77284,63.8,2.235961
420,38047,32.955307,28.0,3.1364446
421,29225,42.411987,39.7,4.199872
422,27067,52.917103,47.3,1.9773362
423,20065,51.685028,50.2,5.1121173
425,18161,57.520863,59.5,2.0354881
426,46129,43.081524,36.6,3.6400404
427,29103,51.167877,47.3,3.0472775
428,19147,57.11706,57.8,2.026862
429,17017,55.695602,62.9,2.481535
430,38075,27.229645,29.5,3.4371758
431,27079,55.61979,55.5,2.1374469
432,39037,51.646465,50.4,2.0969918
434,31035,66.58258,65.6,3.1799595
435,29131,48.69563,52.4,4.1964393
436,19159,45.1391,48.8,2.9121287
437,17029,60.261234,64.3,2.205293
438,27107,42.198215,36.6,2.2125585
439,18015,59.4583,58.5,2.1212022
440,39065,46.226208,42.0,2.1774569
442,31047,69.90676,66.8,3.709598
443,29143,47.00677,55.3,2.4579182
444,19187,54.258007,57.9,1.9845881
445,17057,56.06019,60.1,2.4236672
446,20149,46.82238,48.1,3.7692435
447,18043,48.26383,50.3,3.6118226
448,39077,50.25719,49.3,2.2674232
450,19005,53.526447,52.6,2.2602677
451,17153,47.4434,44.5,2.6032033
452,17101,48.15794,51.0,2.6192112
453,39173,47.823605,46.3,2.4423137
454,20177,47.50287,39.0,3.3037176
455,18055,49.186543,46.3,2.590738
456,31119,61.18459,57.7,2.5171769
457,46025,49.25622,43.5,2.4455678
458,55065,56.551407,57.0,2.2778926
459,19033,53.417385,55.2,1.762846
460,17197,51.97951,50.9,2.3459516
461,17129,58.897858,63.9,2.2178383
463,18083,48.87498,56.6,2.546947
464,39149,52.684612,52.6,2.2033215
465,31147,53.973965,50.6,2.8980794
466,46037,46.02113,40.8,2.4982371
467,55077,41.24484,38.9,2.7809823
468,19045,58.879494,59.7,2.1334636
469,17141,56.846,55.0,1.9993773
470,20031,40.228333,39.2,3.2792208
471,18179,53.872456,50.9,2.0632796
472,18127,53.845116,53.0,2.2156312
473,27167,47.712097,39.3,2.2435534
474,31159,63.550945,61.6,2.8230462
475,46065,40.693203,37.6,4.4065666
476,55105,52.49713,50.6,2.3518546
477,26075,42.43504,33.8,2.940526
478,19073,55.10709,56.7,2.1986685
479,38001,19.90699,13.8,5.0000954
480,29187,42.83733,42.6,4.4134746
481,27037,55.612484,52.5,2.5088835
482,20059,44.035553,41.7,2.9794478
483,18155,52.75445,48.5,3.509802
484,29057,42.279354,44.0,3.9497745
485,26087,45.93898,41.3,2.7756844
486,19117,40.82887,41.4,3.3638084
487,38045,41.04365,34.8,2.3824596
488,18167,49.740078,55.2,2.3893094
489,46135,56.204853,52.9,3.089569
490,29101,45.691677,46.5,3.1456728
491,19145,57.90022,55.4,2.422087
492,17023,56.556774,56.5,2.3392196
493,38073,45.621998,44.1,2.3946254
494,20099,36.65603,39.4,3.421027
495,39027,56.06834,53.6,1.9957647
497,19157,59.371006,56.6,2.4280217
498,17051,53.87627,53.5,2.395998
499,27105,57.6957,53.2,2.0617414
500,20143,34.625065,29.9,5.0139847
501,18013,48.46752,49.8,4.4916964
502,39071,52.832935,52.7,2.3374953
504,29141,50.380074,50.1,4.2262235
505,17063,56.407803,57.3,1.9363421
506,29186,45.32893,40.4,3.4814372
507,18041,55.654232,52.1,2.2582016
508,39099,47.54817,42.0,3.62256
510,17159,47.7438,48.8,2.5426052
511,17091,53.93308,52.2,1.9668963
512,20183,46.365704,39.6,4.8169622
514,18053,54.141956,52.9,2.0408993
515,55071,49.256744,49.2,2.7846074
516,17187,62.765644,63.3,2.1714175
517,17135,58.49543,61.9,2.3015912
519,18081,55.8309,59.1,2.4624019
520,39139,49.08359,46.4,2.5708554
