,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
195,19083,3.7284937,4.18606,55.401096,62.2,0.18367033,-6.7989044
196,19085,3.4687672,3.72842,51.54186,55.4,0.22525825,-3.8581429
197,19087,3.9096355,4.30047,58.092655,63.899998,0.19457205,-5.8073425
198,19089,3.5920353,3.4323,53.37348,51.0,0.18034776,2.3734818
199,19091,3.6852694,3.82937,54.75883,56.9,0.16511849,-2.1411705
200,19093,3.9752965,3.82264,59.0683,56.8,0.17046462,2.268299
201,19095,3.7600508,3.91686,55.87,58.2,0.20520003,-2.3300018
202,19099,4.077144,4.29374,60.58164,63.8,0.18633448,-3.218361
203,19101,3.552184,3.89667,52.781338,57.9,0.24055628,-5.118664
204,19103,3.8545146,3.80245,57.27362,56.5,0.18956967,0.7736206
205,19105,4.0184464,3.66785,59.709457,54.5,0.17614192,5.2094574
206,19107,3.7154002,4.11203,55.206543,61.100002,0.22546576,-5.8934593
207,19111,3.7742763,4.44853,56.08137,66.100006,0.2218698,-10.018635
208,19113,3.891015,3.23713,57.815975,48.1,0.20048797,9.715977
209,19117,2.9781337,3.47941,44.251614,51.7,0.2531462,-7.448387
210,19121,3.5658326,4.12549,52.984142,61.300003,0.21248478,-8.315861
211,19123,3.779179,4.21971,56.15422,62.699997,0.22413965,-6.5457764
212,19125,3.5888357,3.7688,53.32594,56.0,0.23708777,-2.6740608
213,19127,4.1793356,4.15241,62.100082,61.7,0.17551513,0.40008163
214,19129,3.6622133,3.58709,54.416245,53.3,0.22363584,1.1162453
215,19131,3.6522112,3.15637,54.267628,46.899998,0.18568638,7.36763
216,19133,3.356711,3.42557,49.876835,50.9,0.2346869,-1.0231667
217,19135,3.1353393,3.42557,46.58751,50.9,0.25311893,-4.3124924
218,19137,3.8013196,3.67458,56.483204,54.600002,0.21058235,1.8832016
219,19139,4.1010036,4.19952,60.93616,62.4,0.18337567,-1.4638405
220,19141,3.8153,4.40142,56.690937,65.4,0.15901542,-8.7090645
221,19143,3.3753047,4.16587,50.15312,61.900005,0.15564802,-11.746887
222,19145,3.8068876,3.84956,56.565937,57.2,0.21767968,-0.6340637
223,19147,3.612043,3.98416,53.670773,59.2,0.15425614,-5.529228
224,19149,3.4806104,4.04473,51.71784,60.100002,0.16965143,-8.382164
225,19151,3.7257824,4.1726,55.36081,61.999996,0.16873986,-6.639187
226,19153,3.579256,4.11876,53.183598,61.2,0.20325616,-8.016403
227,19157,3.8999,4.00435,57.947994,59.500004,0.20223324,-1.5520096
228,19161,3.7588148,3.91013,55.85163,58.100002,0.18205725,-2.2483711
229,19163,4.2856307,4.46199,63.679504,66.299995,0.16788147,-2.620491
230,19165,3.7768707,3.58709,56.119923,53.3,0.20134266,2.8199234
231,19169,3.8431911,4.31393,57.105366,64.1,0.17100954,-6.9946327
232,19171,4.0230794,3.77553,59.778297,56.100002,0.1844183,3.6782951
233,19173,3.587223,3.68131,53.30198,54.7,0.23503843,-1.3980217
234,19175,3.5463223,4.03127,52.69424,59.9,0.2082637,-7.205761
235,19177,3.1507502,3.99089,46.816498,59.3,0.25613737,-12.483501
236,19179,3.618178,4.15241,53.761932,61.7,0.24103202,-7.9380684
237,19181,3.305729,3.89667,49.1193,57.9,0.23576589,-8.780701
238,19183,3.868823,4.04473,57.48623,60.100002,0.20678686,-2.6137733
239,19187,3.4469094,4.038,51.21708,60.000004,0.19826435,-8.782925
240,19189,3.5826607,4.08511,53.234184,60.700005,0.15670817,-7.4658203
241,19191,3.8613281,3.53998,57.374863,52.6,0.18241785,4.774864
242,19193,3.5764003,3.01504,53.141163,44.8,0.1914005,8.341164
243,19195,3.647193,3.4323,54.19306,51.0,0.16733529,3.1930618
244,19197,3.6324706,4.09184,53.974304,60.8,0.16394754,-6.825695
245,20001,1.3080423,1.5479,19.435993,23.0,0.35259682,-3.5640068
246,20005,3.1817985,3.41211,47.27784,50.7,0.28391555,-3.422161
247,20009,1.8834381,1.13737,27.985708,16.9,0.52212846,11.085709
248,20011,1.7150148,1.54117,25.483133,22.9,0.33684215,2.5831337
249,20013,3.7827244,3.9707,56.2069,59.0,0.26061845,-2.7930984
250,20015,1.1784995,0.8076,17.511137,12.0,0.40575555,5.511137
251,20017,1.4264416,1.40657,21.195269,20.9,0.3832103,0.295269
252,20019,1.1213429,0.69992,16.661856,10.4,0.3783318,6.261856
253,20021,1.8848305,2.00554,28.006397,29.8,0.31394345,-1.793602
254,20027,2.2775242,1.45368,33.84137,21.6,0.46079943,12.241369
255,20029,2.0425029,1.33927,30.349226,19.9,0.50040257,10.449226
256,20031,1.65086,1.36619,24.529865,20.3,0.38763812,4.229866
257,20035,1.010108,0.86817,15.009034,12.900001,0.4558531,2.1090336
258,20037,2.1653948,1.85075,32.17526,27.5,0.294506,4.6752586
259,20041,1.6492896,0.99604,24.506533,14.8,0.3823696,9.7065325
260,20049,1.2194519,1.40657,18.119642,20.9,0.3920936,-2.7803574
261,20053,1.7313845,0.88836,25.726368,13.200001,0.5303118,12.526367
262,20059,1.7855057,1.75653,26.530544,26.1,0.35849735,0.4305439
263,20061,1.9775747,1.49406,29.384468,22.2,0.438943,7.1844673
264,20073,1.1663418,0.92874,17.330488,13.8,0.38527432,3.530488
265,20077,1.095262,1.4806,16.274324,22.0,0.42374983,-5.7256756
266,20085,2.5006728,2.72565,37.1571,40.5,0.33018735,-3.3428993
267,20087,2.7561207,3.08907,40.95276,45.9,0.3051595,-4.9472427
268,20089,2.5413465,1.56809,37.761463,23.3,0.46882105,14.461464
269,20091,1.9144306,1.86421,28.44622,27.7,0.34194615,0.74621964
