,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
236,20139,3.1081135,2.58432,46.182964,38.4,0.3476404,7.782963
237,20143,2.429598,2.019,36.101013,30.000002,0.48118436,6.1010113
238,20151,3.0956118,2.71219,45.997204,40.3,0.48227644,5.6972046
239,20155,2.469058,2.51029,36.68734,37.3,0.45812005,-0.61265945
240,20159,2.2495558,1.79691,33.425793,26.7,0.49100462,6.725792
241,20161,3.5666926,2.88717,52.996918,42.9,0.53892606,10.096916
242,20167,2.3412912,2.44972,34.788876,36.399998,0.5481946,-1.6111221
243,20169,2.5393746,1.39311,37.732162,20.7,0.4170597,17.032162
244,20175,3.7597067,3.93705,55.864883,58.500004,0.3331638,-2.6351204
245,20177,3.1401193,2.30166,46.658535,34.2,0.41734537,12.458534
246,20183,2.925317,2.64489,43.46682,39.300003,0.44675362,4.1668167
247,20191,1.7084179,0.8749,25.38511,13.0,0.37050802,12.385111
248,20197,3.3522937,2.52375,49.8112,37.5,0.43881786,12.311199
249,20205,2.3755326,1.70942,35.29766,25.4,0.26269433,9.897661
250,26007,2.8649967,2.27474,42.57053,33.8,0.28426033,8.770531
251,26011,3.3434036,3.10926,49.679104,46.2,0.23436272,3.479103
252,26015,3.578636,3.41211,53.17438,50.7,0.21959633,2.4743805
253,26017,3.524906,3.77553,52.37602,56.100002,0.19139066,-3.7239838
254,26021,3.093591,2.7593,45.96718,41.0,0.23122807,4.9671783
255,26023,3.6462905,3.11599,54.179653,46.3,0.18239328,7.879654
256,26025,3.369254,2.99485,50.063213,44.5,0.19177648,5.5632133
257,26027,3.4350708,3.30443,51.041172,49.100002,0.22121139,1.9411697
258,26035,2.8428724,2.93428,42.24179,43.6,0.2965625,-1.3582077
259,26037,3.5701175,3.0958,53.04781,46.0,0.19418642,7.0478096
260,26045,3.5805237,3.7015,53.202435,55.0,0.18821724,-1.7975655
261,26049,3.338401,2.88717,49.60477,42.9,0.21212198,6.704769
262,26051,3.2713387,3.33135,48.608303,49.5,0.27779013,-0.89169693
263,26055,2.6645494,2.47664,39.592117,36.8,0.35207716,2.792118
264,26057,3.746158,3.75534,55.663567,55.800003,0.20645165,-0.13643646
265,26059,3.438788,3.51979,51.096405,52.3,0.19508253,-1.2035942
266,26063,3.6431553,3.84956,54.133068,57.2,0.20705657,-3.0669327
267,26065,3.7015092,3.28424,55.000137,48.8,0.18463843,6.200138
268,26067,3.7688725,3.7688,56.00108,56.0,0.19996497,0.0010795593
269,26075,3.3024037,3.2304,49.069893,48.0,0.22247286,1.0698929
270,26087,3.3926094,3.1631,50.410244,47.0,0.19051588,3.410244
271,26091,3.3161113,3.22367,49.27357,47.9,0.18329036,1.3735695
272,26093,3.4877818,3.26405,51.824394,48.5,0.19469309,3.3243942
273,26099,3.2883666,3.13618,48.861317,46.6,0.26330143,2.2613182
274,26105,2.8868508,3.06215,42.89526,45.5,0.28422153,-2.6047401
275,26111,3.564318,3.41211,52.961636,50.7,0.22564775,2.2616348
276,26115,3.2882164,2.8939,48.859085,43.0,0.22562379,5.859085
277,26117,3.3705752,3.46595,50.08284,51.5,0.23561451,-1.41716
278,26119,2.9760535,2.63143,44.220707,39.1,0.27133563,5.1207085
279,26121,3.271371,3.37173,48.60878,50.100002,0.27286267,-1.4912224
280,26123,3.2180307,3.19675,47.816208,47.5,0.28142655,0.3162079
281,26125,3.1004803,3.11599,46.069546,46.3,0.26908657,-0.23045349
282,26127,2.909096,2.94774,43.225796,43.800003,0.28832158,-0.5742073
283,26129,3.1379,3.13618,46.62556,46.6,0.28255543,0.025562286
284,26133,2.5791306,3.15637,38.32289,46.899998,0.30540973,-8.577106
285,26139,3.5585132,3.41211,52.87538,50.7,0.23725474,2.1753807
286,26141,2.6208866,2.11322,38.943336,31.4,0.3356889,7.543337
287,26145,3.6382873,3.45922,54.060734,51.399998,0.20365986,2.660736
288,26147,3.0635116,2.9612,45.520233,44.0,0.2345936,1.5202332
289,26149,3.516702,3.35154,52.254116,49.800003,0.21024352,2.454113
290,26151,3.6358845,3.51979,54.025032,52.3,0.18244319,1.7250328
291,26155,3.5367424,3.0958,52.551895,46.0,0.17861903,6.551895
292,26157,3.641378,3.62074,54.106655,53.8,0.19060728,0.30665588
293,26161,3.2208536,3.35827,47.85815,49.899998,0.23976277,-2.0418472
294,26163,2.9649603,2.63143,44.055874,39.1,0.30713022,4.9558754
295,27001,2.4757206,2.20071,36.78634,32.7,0.14665742,4.086338
