,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
166,19095,4.289768,4.09857,63.740986,60.899998,0.12309046,2.8409882
167,19097,4.226339,4.34758,62.798496,64.6,0.13045272,-1.8015022
168,19101,4.200094,4.07165,62.40853,60.5,0.125697,1.9085312
169,19103,4.451313,4.27355,66.14135,63.5,0.11953886,2.6413498
170,19105,4.3694277,4.29374,64.92463,63.8,0.121475525,1.12463
171,19107,4.137,4.24663,61.471027,63.100002,0.116801836,-1.6289749
172,19111,4.2751474,4.50237,63.523735,66.9,0.13334319,-3.3762665
173,19115,4.420657,4.33412,65.685844,64.399994,0.1212161,1.2858505
174,19123,4.3112288,4.48891,64.05986,66.700005,0.12620804,-2.6401443
175,19125,4.162487,4.28028,61.849735,63.600002,0.1573114,-1.750267
176,19129,4.2629204,4.11203,63.342056,61.100002,0.13436182,2.242054
177,19131,4.076513,4.1726,60.572258,61.999996,0.13057373,-1.4277382
178,19133,3.8325522,3.71496,56.947285,55.2,0.11959926,1.7472839
179,19135,3.7033918,3.78899,55.02811,56.3,0.16100112,-1.2718887
180,19137,4.279586,4.14568,63.589687,61.6,0.12415386,1.9896889
181,19139,4.604172,4.21298,68.41267,62.6,0.11248198,5.812668
182,19141,3.861818,3.79572,57.38214,56.4,0.09890665,0.9821396
183,19145,4.1870117,4.03127,62.21414,59.9,0.13336666,2.3141403
184,19147,3.706709,3.61401,55.0774,53.7,0.1168067,1.3773994
185,19151,4.1337285,3.91013,61.422417,58.100002,0.09554132,3.3224144
186,19153,4.052926,4.15241,60.221786,61.7,0.13950749,-1.4782143
187,19155,4.0630364,4.18606,60.372013,62.2,0.12655938,-1.8279877
188,19157,4.3169546,4.14568,64.14494,61.6,0.12588733,2.5449448
189,19161,4.369394,4.3072,64.924126,64.0,0.10163291,0.9241257
190,19163,4.8094172,4.71773,71.462364,70.1,0.10665266,1.3623657
191,19165,4.2367554,4.29374,62.953274,63.8,0.11224097,-0.84672546
192,19169,4.1137466,4.25336,61.125507,63.199997,0.11163376,-2.0744896
193,19173,3.8928473,4.14568,57.8432,61.6,0.15333287,-3.7567978
194,19177,4.0477343,4.13222,60.14464,61.399998,0.14320873,-1.2553558
195,19185,3.6439772,3.80918,54.14528,56.600002,0.14926867,-2.4547234
196,19187,4.169969,4.02454,61.960907,59.8,0.094647735,2.1609077
197,19189,3.8637533,3.62074,57.410896,53.8,0.11376441,3.610897
198,19191,3.822341,3.7015,56.79556,55.0,0.13005042,1.7955589
199,19193,4.0848317,3.95724,60.695866,58.800003,0.11219867,1.8958626
200,19195,3.8438604,3.80918,57.11531,56.600002,0.12098432,0.5153084
201,19197,4.0089903,3.73515,59.56895,55.500004,0.110996634,4.068947
202,20001,2.3137455,1.78345,34.379578,26.5,0.19616586,7.8795776
203,20003,2.8235304,2.42953,41.95439,36.1,0.20223454,5.854393
204,20005,3.6982539,3.62074,54.951767,53.8,0.18185398,1.1517677
205,20009,1.9622735,2.24782,29.15711,33.399998,0.15988633,-4.2428875
206,20011,2.300192,1.37292,34.17819,20.400002,0.20087084,13.778187
207,20013,3.9628086,3.9707,58.882744,59.0,0.1517864,-0.117256165
208,20015,2.182209,2.02573,32.4251,30.099998,0.20489554,2.3251
209,20017,2.921232,2.8939,43.40612,43.0,0.19709016,0.4061203
210,20027,3.072902,2.692,45.659763,40.0,0.20550874,5.6597633
211,20029,2.4488168,2.20744,36.38658,32.8,0.23233461,3.5865822
212,20031,2.6458738,1.91132,39.314617,28.4,0.20880857,10.914618
213,20035,1.8891934,1.08353,28.071224,16.099998,0.1623624,11.971226
214,20041,2.2696033,2.019,33.723675,30.000002,0.17861499,3.7236729
215,20045,2.8004982,2.54394,41.61216,37.800003,0.21219563,3.8121567
216,20047,2.9010856,3.40538,43.10677,50.600002,0.1525063,-7.4932327
217,20049,1.9305019,1.15756,28.685022,17.2,0.15667929,11.485022
218,20059,2.917765,2.61124,43.354607,38.8,0.1866008,4.5546074
219,20061,3.0654373,2.61124,45.548847,38.8,0.2095525,6.748848
220,20073,2.2240946,1.81037,33.04747,26.9,0.1671255,6.1474705
221,20085,3.2542868,2.90063,48.35493,43.100002,0.19435085,5.2549286
222,20091,2.5920336,1.80364,38.514614,26.800001,0.2081105,11.714613
223,20095,1.5806031,2.1536,23.485931,32.0,0.19257726,-8.514069
224,20099,2.0073378,1.38638,29.826714,20.6,0.15418942,9.226713
225,20103,3.2760031,3.2304,48.67761,48.0,0.20789003,0.6776085
226,20105,2.0969572,1.80364,31.158354,26.800001,0.18403113,4.3583527
227,20111,3.0196068,2.42953,44.86786,36.1,0.19474404,8.76786
228,20113,2.0685213,2.36896,30.735828,35.2,0.1571332,-4.4641724
229,20115,2.321874,2.24782,34.500355,33.399998,0.20782574,1.100357
230,20121,2.594248,1.75653,38.54752,26.1,0.19637005,12.447519
231,20123,1.6462764,1.31908,24.46176,19.6,0.20293656,4.861759
232,20125,1.8399342,1.46041,27.33929,21.7,0.12982261,5.63929
233,20127,2.7317166,2.17379,40.590145,32.3,0.19855112,8.290146
234,20131,3.399409,3.23713,50.51128,48.1,0.16720642,2.4112816
235,20133,2.3327987,1.77672,34.662685,26.400002,0.18180124,8.262684
236,20139,2.861956,2.58432,42.52535,38.4,0.22433876,4.125347
237,20143,2.0632617,2.019,30.657679,30.000002,0.19175541,0.6576767
238,20151,2.5069642,2.71219,37.250584,40.3,0.17798537,-3.0494156
239,20155,2.0286648,2.51029,30.143608,37.3,0.16369212,-7.156391
240,20159,1.7525586,1.79691,26.040989,26.7,0.16082783,-0.65901184
241,20161,3.0940366,2.88717,45.973797,42.9,0.20906934,3.0737953
242,20167,1.9816664,2.44972,29.445267,36.399998,0.20084561,-6.954731
243,20169,2.0300276,1.39311,30.163858,20.7,0.15994604,9.463858
244,20175,3.0183055,3.93705,44.848522,58.500004,0.112956636,-13.651482
245,20177,2.9853857,2.30166,44.35937,34.2,0.22081926,10.15937
246,20183,2.4584992,2.64489,36.53045,39.300003,0.17622814,-2.7695541
247,20191,1.4484828,0.8749,21.522776,13.0,0.16529351,8.522776
248,20197,3.0963013,2.52375,46.00745,37.5,0.21921395,8.50745
249,20205,2.1518962,1.70942,31.974684,25.4,0.17201836,6.574684
250,26007,2.8714097,2.27474,42.66582,33.8,0.19617139,8.865822
251,26011,3.186634,3.10926,47.34969,46.2,0.16734274,1.1496887
252,26015,3.528968,3.41211,52.436375,50.7,0.15379214,1.7363739
253,26017,3.3721147,3.77553,50.105717,56.100002,0.1289636,-5.9942856
254,26021,3.1103303,2.7593,46.215904,41.0,0.16000184,5.215904
255,26023,3.6269498,3.11599,53.89227,46.3,0.123616934,7.59227
256,26025,3.3574464,2.99485,49.887764,44.5,0.13141584,5.387764
257,26027,3.4122193,3.30443,50.701626,49.100002,0.15592293,1.6016235
258,26035,2.670248,2.93428,39.676792,43.6,0.21709718,-3.9232063
259,26037,3.5591004,3.0958,52.884106,46.0,0.13248402,6.8841057
260,26045,3.5337226,3.7015,52.507023,55.0,0.13108099,-2.4929771
261,26049,3.283775,2.88717,48.79309,42.9,0.15221691,5.8930893
262,26051,3.134473,3.33135,46.57464,49.5,0.19335791,-2.9253616
263,26055,2.579656,2.47664,38.330696,36.8,0.23491174,1.5306969
264,26057,3.6363761,3.75534,54.032337,55.800003,0.13577625,-1.7676659
265,26059,3.435623,3.51979,51.049374,52.3,0.13628955,-1.2506256
266,26063,3.5636759,3.84956,52.952095,57.2,0.1438694,-4.2479057
267,26065,3.6561067,3.28424,54.32551,48.8,0.12573928,5.525509
268,26067,3.6951349,3.7688,54.905422,56.0,0.13853855,-1.0945778
269,26075,3.2621005,3.2304,48.47103,48.0,0.15071361,0.4710312
270,26087,3.3726516,3.1631,50.113693,47.0,0.13782488,3.1136932
271,26091,3.301402,3.22367,49.055008,47.9,0.12768957,1.1550064
272,26093,3.4170759,3.26405,50.77379,48.5,0.13263418,2.2737885
273,26099,3.0792663,3.13618,45.75433,46.6,0.2062127,-0.8456688
274,26105,2.7846787,3.06215,41.377098,45.5,0.21343978,-4.122902
275,26111,3.402393,3.41211,50.55562,50.7,0.1510788,-0.14438248
276,26115,3.279896,2.8939,48.735455,43.0,0.15835212,5.7354546
277,26117,3.2389376,3.46595,48.126858,51.5,0.16549149,-3.3731422
278,26119,2.8818848,2.63143,42.82147,39.1,0.18210836,3.7214699
279,26121,3.1045153,3.37173,46.1295,50.100002,0.20177439,-3.970501
280,26123,3.0599291,3.19675,45.467,47.5,0.21708827,-2.033001
281,26125,2.9199991,3.11599,43.387802,46.3,0.21370421,-2.912197
282,26127,2.8221452,2.94774,41.933807,43.800003,0.22187705,-1.8661957
283,26129,2.95956,3.13618,43.97563,46.6,0.19825491,-2.6243668
284,26133,2.4116316,3.15637,35.83405,46.899998,0.24268562,-11.0659485
285,26139,3.4235857,3.41211,50.870514,50.7,0.17421587,0.17051315
286,26141,2.5679257,2.11322,38.1564,31.4,0.22190173,6.756399
287,26145,3.529471,3.45922,52.443848,51.399998,0.13322593,1.04385
288,26147,3.1005487,2.9612,46.07056,44.0,0.16801721,2.0705605
289,26149,3.391082,3.35154,50.38755,49.800003,0.14329623,0.5875473
290,26151,3.6036217,3.51979,53.545643,52.3,0.12967181,1.2456436
291,26155,3.5489743,3.0958,52.733646,46.0,0.12136967,6.7336464
292,26157,3.544489,3.62074,52.666996,53.8,0.13205315,-1.1330032
293,26161,3.1507943,3.35827,46.81715,49.899998,0.16652076,-3.0828476
294,26163,2.6715095,2.63143,39.695534,39.1,0.2544696,0.5955353
295,27001,2.5624976,2.20071,38.075745,32.7,0.11230034,5.375744
296,27003,2.5574555,2.65162,38.000824,39.399998,0.19722256,-1.3991737
297,27005,2.9447873,2.59105,43.756126,38.5,0.14020054,5.2561264
298,27007,2.6316674,1.93824,39.103527,28.800001,0.201469,10.303526
299,27009,3.3270743,3.2977,49.43647,49.0,0.16434056,0.43647003
300,27011,3.3272192,2.53721,49.43862,37.7,0.11414749,11.738621
301,27013,3.5999267,3.42557,53.490738,50.9,0.115046926,2.5907364
302,27015,3.647968,3.29097,54.20458,48.9,0.113726236,5.304577
303,27019,3.7261827,3.51979,55.366756,52.3,0.11413226,3.0667572
304,27021,2.7815325,1.87767,41.33035,27.900002,0.21963134,13.430347
305,27025,2.8979785,2.51702,43.060604,37.4,0.1665088,5.6606026
306,27027,3.0660346,2.58432,45.55772,38.4,0.1206177,7.1577187
307,27029,2.8136127,2.56413,41.807026,38.100002,0.13724907,3.7070236
308,27033,3.596059,3.22367,53.43327,47.9,0.11266567,5.533268
309,27037,3.486006,3.82264,51.798008,56.8,0.16640206,-5.0019913
310,27039,3.8943222,3.64766,57.865116,54.2,0.12786417,3.6651154
311,27045,3.8461316,3.82264,57.14906,56.8,0.13977155,0.34906006
312,27047,3.7948263,3.60055,56.386723,53.5,0.11671429,2.8867226
313,27049,3.7521648,3.79572,55.752823,56.4,0.12557113,-0.64717865
314,27051,3.48685,2.85352,51.81055,42.399998,0.13505627,9.410553
315,27053,3.233623,3.13618,48.04789,46.6,0.16724718,1.4478912
316,27057,2.753417,2.20744,40.912586,32.8,0.19245674,8.112587
317,27059,2.895601,2.38915,43.025276,35.5,0.15868868,7.525276
318,27061,2.8621776,1.93824,42.52864,28.800001,0.18728252,13.72864
319,27063,3.287364,2.8266,48.84642,42.0,0.10504042,6.8464203
320,27067,3.58463,3.20348,53.263447,47.600002,0.11752509,5.6634445
321,27069,2.7663434,2.61124,41.104656,38.8,0.1130559,2.304657
322,27071,2.596454,1.6825,38.580296,25.0,0.1855959,13.580296
323,27073,3.622587,3.13618,53.827446,46.6,0.110985406,7.2274475
324,27079,3.709417,3.25732,55.11764,48.399998,0.11843689,6.7176437
325,27085,3.4990938,2.92755,51.992477,43.5,0.114975244,8.492477
326,27087,2.945192,2.49683,43.762142,37.1,0.13018093,6.6621437
327,27089,2.6897256,2.59778,39.966206,38.6,0.1287254,1.3662071
328,27095,3.1442702,2.72565,46.72021,40.5,0.15334295,6.220211
329,27097,3.222966,3.21694,47.889538,47.8,0.17792457,0.089538574
330,27099,3.8745067,3.80918,57.57068,56.600002,0.13208324,0.9706764
331,27103,3.8489044,3.60728,57.190258,53.600002,0.10019897,3.5902557
332,27105,3.3337424,2.97466,49.53555,44.2,0.10464431,5.3355484
333,27107,2.7635186,2.30839,41.062683,34.3,0.12462412,6.762684
334,27113,2.3225114,2.4901,34.509827,37.0,0.13986836,-2.4901733
335,27115,3.034425,2.42953,45.08804,36.1,0.16046886,8.988041
336,27119,2.8400474,2.88044,42.199814,42.8,0.11780569,-0.6001854
337,27121,3.5753481,3.02177,53.12553,44.9,0.13952619,8.225529
338,27125,2.5478551,2.83333,37.858173,42.1,0.14292501,-4.241825
339,27129,3.5359051,3.01504,52.53945,44.8,0.106442854,7.7394524
340,27131,3.5054598,3.06888,52.08707,45.600002,0.11929636,6.487068
341,27135,2.5171287,2.48337,37.401615,36.9,0.14418946,0.5016136
342,27139,3.6531065,3.35827,54.28093,49.899998,0.12299612,4.380932
343,27141,2.7428384,3.00831,40.7554,44.7,0.2006544,-3.9445992
344,27143,3.482502,3.12272,51.745945,46.4,0.106101625,5.3459435
345,27145,3.592964,3.23713,53.38728,48.1,0.14120574,5.287281
346,27147,3.72208,3.29097,55.305794,48.9,0.1175247,6.405792
347,27149,3.5381649,2.86698,52.57303,42.600002,0.11990132,9.973026
348,27151,3.5464551,2.92755,52.696213,43.5,0.12044487,9.196213
349,27153,3.1487615,2.40934,46.786945,35.8,0.17037375,10.986946
350,27161,3.64127,3.35154,54.105053,49.800003,0.11094642,4.30505
351,27163,3.5222905,3.45922,52.337154,51.399998,0.17683765,0.9371567
352,27165,3.7072163,3.4996,55.084938,52.0,0.117118746,3.084938
353,27167,3.1200802,2.57759,46.360775,38.3,0.13375394,8.060776
354,27169,3.8578095,3.73515,57.32258,55.500004,0.14500147,1.8225746
355,29005,4.2733674,4.1726,63.497288,61.999996,0.1453757,1.4972916
356,29007,3.590739,3.47941,53.35422,51.7,0.13976148,1.6542206
357,29011,2.6008625,2.14687,38.6458,31.9,0.18651299,6.745802
358,29019,3.468322,3.22367,51.535248,47.9,0.16592091,3.6352463
359,29021,3.8999777,3.95724,57.94915,58.800003,0.1763577,-0.85085297
360,29025,3.4658256,3.43903,51.49815,51.1,0.16491553,0.3981514
361,29027,3.7544942,3.25732,55.787434,48.399998,0.17073727,7.387436
362,29031,2.9381554,2.59105,43.657585,38.5,0.1746858,5.157585
363,29033,3.8553574,3.82937,57.286144,56.9,0.15676852,0.38614273
364,29037,2.8535564,2.2882,42.40054,34.0,0.18838924,8.400539
365,29039,2.5789535,1.77672,38.32026,26.400002,0.21421695,11.920258
366,29045,3.8314857,3.85629,56.93144,57.300003,0.15917474,-0.3685646
367,29047,3.26767,3.58709,48.553787,53.3,0.19683902,-4.746212
368,29049,3.852308,4.07838,57.240833,60.600002,0.1746462,-3.359169
369,29051,3.4173014,3.35154,50.777138,49.800003,0.19603318,0.9771347
