,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
121,18153,3.8611896,4.15241,57.372803,61.7,0.2715802,-4.327198
122,18155,3.317402,2.84006,49.292747,42.2,0.31144753,7.0927467
123,18157,4.3566284,4.15914,64.73445,61.800003,0.21469048,2.9344482
124,18159,4.4270873,4.50237,65.78139,66.9,0.18127008,-1.1186142
125,18161,4.091406,4.19952,60.79355,62.4,0.19949304,-1.606453
126,18163,3.8639443,3.93705,57.413734,58.500004,0.2240575,-1.0862694
127,18167,3.6634326,3.8361,54.434364,57.000004,0.2491134,-2.5656395
128,18169,3.6907668,3.41884,54.84052,50.8,0.17920366,4.0405197
129,18173,3.5143204,3.71496,52.218727,55.2,0.29097715,-2.9812737
130,18175,3.719007,3.88994,55.260136,57.8,0.27407724,-2.5398636
131,18177,3.9146438,3.74188,58.16707,55.6,0.21417248,2.56707
132,18179,4.0539656,3.95724,60.237232,58.800003,0.18368368,1.4372292
133,18183,3.4274492,2.86025,50.927925,42.5,0.19299121,8.427925
134,19001,4.2948375,4.05146,63.816307,60.199997,0.20021547,3.6163101
135,19005,4.0941978,3.84283,60.835033,57.1,0.17028733,3.735035
136,19009,4.5704517,4.34758,67.91161,64.6,0.18875611,3.311615
137,19013,4.332131,3.84956,64.370445,57.2,0.20589595,7.1704445
138,19015,4.663204,4.46199,69.28981,66.299995,0.21643268,2.9898148
139,19017,4.2691917,3.82937,63.43524,56.9,0.17950179,6.53524
140,19019,4.387762,4.03127,65.19706,59.9,0.18719374,5.297058
141,19023,4.403704,3.92359,65.43394,58.3,0.18284214,7.133938
142,19025,4.669511,4.21298,69.38352,62.6,0.19577894,6.7835236
143,19027,4.6957903,4.54948,69.774,67.6,0.2017342,2.1740036
144,19029,4.50899,4.11203,66.99836,61.100002,0.22530574,5.8983574
145,19031,4.769765,4.47545,70.87318,66.5,0.1745191,4.3731766
146,19035,4.50735,4.05146,66.974,60.199997,0.1577943,6.774002
