,FIPS,y_test_pred,y_test,y_test_pred_model_uncertainty,y_test_pred_cv,pred_error
239,20155,15.957986,-1.0,2.6183376,0.16407695,16.957985
240,20159,13.65698,-1.0,2.2087548,0.16173084,14.65698
241,20161,18.035736,-1.0,2.5005739,0.13864551,19.035736
242,20167,16.05978,-1.0,2.8361175,0.17659754,17.05978
243,20169,11.092668,-1.0,1.9997042,0.18027262,12.092668
244,20175,31.74599,-1.0,7.629107,0.24031718,32.74599
245,20177,18.430487,-1.0,2.3394947,0.12693614,19.430487
246,20183,19.878128,-1.0,3.4426024,0.17318544,20.878128
247,20191,10.886656,-1.0,1.8141146,0.16663653,11.886656
248,20197,18.52364,-1.0,2.3270228,0.1256245,19.52364
249,20205,10.357199,-1.0,1.6673448,0.16098414,11.357199
304,26007,13.203691,-1.0,2.018335,0.15286143,14.203691
305,26011,16.937138,-1.0,2.0171006,0.11909336,17.937138
306,26015,16.419281,-1.0,1.9225949,0.117093734,17.419281
307,26017,17.291523,-1.0,1.7772399,0.10278099,18.291523
308,26021,15.125972,-1.0,1.7414279,0.11512833,16.125973
309,26023,16.013721,-1.0,1.7007636,0.10620664,17.013721
310,26025,16.11698,-1.0,1.7723883,0.10997026,17.11698
311,26027,16.665977,-1.0,1.7791741,0.10675486,17.665977
312,26035,14.495549,-1.0,2.0163746,0.13910301,15.495549
313,26037,15.078235,-1.0,1.808147,0.11991768,16.078236
314,26045,16.148655,-1.0,1.8204291,0.11272945,17.148655
315,26049,14.666393,-1.0,1.8552891,0.12649934,15.666393
316,26051,16.256124,-1.0,2.1771934,0.13393065,17.256124
317,26055,12.441222,-1.0,2.1307323,0.1712639,13.441222
318,26057,16.789148,-1.0,1.853311,0.11038743,17.789148
319,26059,14.944907,-1.0,1.7808682,0.11916221,15.944907
320,26063,16.142212,-1.0,1.86786,0.11571276,17.142212
321,26065,16.700527,-1.0,1.8742597,0.112227574,17.700527
322,26067,17.357616,-1.0,1.8883095,0.10878853,18.357616
323,26075,15.566659,-1.0,1.8367845,0.11799478,16.566658
324,26087,14.928413,-1.0,1.7550867,0.11756686,15.928413
325,26091,14.01609,-1.0,1.6832819,0.12009639,15.01609
326,26093,16.319824,-1.0,1.8599974,0.11397166,17.319824
327,26099,13.609742,-1.0,1.8594688,0.13662778,14.609742
328,26105,14.365883,-1.0,2.1036124,0.14643113,15.365883
329,26111,16.646893,-1.0,1.8656325,0.11207092,17.646893
330,26115,13.429687,-1.0,1.7479134,0.13015296,14.429687
331,26117,16.604448,-1.0,1.8338941,0.110445954,17.604448
332,26119,14.348783,-1.0,2.0556877,0.14326565,15.348783
333,26121,13.122136,-1.0,1.8842837,0.1435958,14.122136
334,26123,15.5762205,-1.0,2.0236013,0.12991607,16.576221
335,26125,16.471449,-1.0,2.217742,0.13464159,17.471449
336,26127,14.10683,-1.0,2.0719416,0.14687507,15.10683
337,26129,16.142275,-1.0,2.1229537,0.13151515,17.142275
338,26133,16.133072,-1.0,2.1587799,0.13381083,17.133072
339,26139,13.324834,-1.0,1.7740483,0.1331385,14.324834
340,26141,11.270333,-1.0,2.1772592,0.19318499,12.270333
341,26145,16.83199,-1.0,1.8593329,0.11046424,17.83199
342,26147,12.872043,-1.0,1.8527068,0.14393261,13.872043
343,26149,16.001019,-1.0,1.7341623,0.10837825,17.001019
344,26151,16.01531,-1.0,1.8073467,0.11285118,17.01531
345,26155,14.589447,-1.0,1.7962317,0.123118564,15.589447
346,26157,17.10862,-1.0,1.8212924,0.10645466,18.10862
347,26161,14.415054,-1.0,1.7956878,0.12457031,15.415054
348,26163,14.997527,-1.0,2.2997727,0.15334347,15.997527
349,27001,11.995536,-1.0,1.6700265,0.13922067,12.995536
350,27003,16.3533,-1.0,2.039991,0.12474491,17.3533
351,27005,16.920036,-1.0,1.9144349,0.11314603,17.920036
352,27007,16.776348,-1.0,2.2856135,0.13624023,17.776348
353,27009,17.747463,-1.0,2.1588607,0.12164334,18.747463
354,27011,16.142416,-1.0,2.3440907,0.14521313,17.142416
