,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
507,29107,13.575199,10.98336,201.71173,163.20001,0.6182238,38.51172
508,29111,12.390562,10.4315,184.10939,155.00002,0.5338303,29.109375
509,29113,11.504722,8.43269,170.94684,125.299995,0.6387846,45.646843
510,29115,12.487737,11.15834,185.5533,165.8,0.53988194,19.753296
511,29117,13.33016,13.35232,198.07074,198.4,0.51825196,-0.32925415
512,29125,8.876841,5.30324,131.89957,78.799995,1.0748348,53.09957
513,29127,12.803564,11.76404,190.24612,174.8,0.51119864,15.446121
514,29133,13.023716,12.25533,193.51733,182.1,0.79953796,11.417328
515,29135,10.879906,7.71931,161.6628,114.7,0.79329646,46.9628
516,29137,12.7035265,10.12192,188.75969,150.4,0.5254792,38.359695
517,29139,12.047101,11.33332,179.00597,168.4,0.6166924,10.605972
518,29141,11.129213,9.16626,165.36722,136.2,0.8716382,29.167221
519,29143,12.68424,11.49484,188.47311,170.8,0.76180685,17.673111
520,29151,10.442696,9.0182,155.16635,134.0,0.8504818,21.166351
521,29155,12.8242655,11.89864,190.55373,176.8,0.7928396,13.753723
522,29157,12.414864,9.1528,184.47049,136.0,0.689632,48.47049
523,29159,11.38685,9.03839,169.1954,134.3,0.6903686,34.8954
524,29163,11.740324,10.22287,174.44762,151.9,0.5902156,22.547623
525,29165,12.94858,11.94575,192.4009,177.5,0.7040379,14.900894
526,29167,7.710397,8.79611,114.56756,130.7,1.0940064,-16.132439
527,29173,12.717494,11.5083,188.96722,171.0,0.5134183,17.967224
528,29175,11.616558,11.79096,172.6086,175.20001,0.59053856,-2.5914154
529,29177,12.90743,11.70347,191.78944,173.90001,0.6196978,17.889435
530,29183,13.81967,11.29294,205.34428,167.8,0.6391261,37.54428
531,29185,10.909254,5.7205,162.09888,85.0,0.8512945,77.09888
532,29186,11.897396,11.31313,176.78152,168.1,0.84492075,8.681519
533,29187,11.04557,10.9699,164.12437,163.0,0.9825193,1.1243744
534,29197,11.439725,10.64013,169.98105,158.1,0.58488005,11.8810425
535,29199,12.380659,10.51226,183.96225,156.20001,0.546715,27.762238
536,29201,13.368336,11.7102,198.63797,174.0,0.8215564,24.63797
537,29205,13.354031,12.41685,198.42542,184.5,0.47818828,13.925415
538,29207,12.883413,10.97663,191.43259,163.1,0.73684865,28.33258
539,29211,11.57966,10.76127,172.06033,159.9,0.5821066,12.160339
540,29217,8.171665,5.40419,121.42148,80.3,0.8793072,41.121475
541,29219,12.880576,11.71693,191.39044,174.1,0.6187133,17.290436
542,29225,5.136973,3.77553,76.32947,56.100002,1.0345749,20.229465
543,29227,12.25548,10.78819,182.10223,160.3,0.5671361,21.80223
544,31001,14.416061,13.43981,214.20596,199.7,0.6133959,14.505966
545,31011,13.959759,12.30244,207.42584,182.8,0.5200818,24.62584
546,31013,9.188311,10.74108,136.52765,159.6,0.99070543,-23.072357
547,31015,8.166165,6.11084,121.33975,90.799995,0.75700164,30.539757
548,31017,13.197332,13.36578,196.09706,198.6,0.7322917,-2.502945
549,31019,13.3452635,11.15834,198.29515,165.8,0.7078106,32.495148
550,31021,13.109434,10.49207,194.791,155.90001,0.49037993,38.89099
551,31023,13.099105,11.44773,194.63751,170.1,0.53524595,24.537506
552,31025,11.80917,8.91725,175.47058,132.5,0.61348736,42.97058
553,31027,13.686609,11.39389,203.36716,169.3,0.49761254,34.067154
554,31029,10.628532,8.45288,157.92767,125.6,0.9372582,32.327675
555,31033,4.778836,6.85114,71.007965,101.8,0.9063146,-30.792038
556,31035,14.406302,11.46119,214.06096,170.3,0.53299063,43.760956
557,31037,12.560543,11.15834,186.63512,165.8,0.55492914,20.835114
558,31039,12.962126,11.34678,192.60217,168.6,0.51820976,24.002167
559,31043,13.017959,10.79492,193.43178,160.4,0.53117454,33.031784
560,31047,14.034636,12.89468,208.53842,191.6,0.65386546,16.938416
561,31053,12.561718,10.78146,186.65257,160.2,0.52836907,26.452576
562,31055,12.363237,11.32659,183.70338,168.3,0.6535233,15.403381
563,31057,8.918658,11.40735,132.52092,169.5,0.95101863,-36.97908
564,31059,14.329379,12.9216,212.91797,192.0,0.48357347,20.917969
565,31061,13.041935,10.31709,193.78804,153.3,0.7196084,40.488037
566,31063,7.0488014,8.37212,104.73702,124.4,0.78701127,-19.66298
567,31065,7.4755607,5.99643,111.07817,89.1,0.8749987,21.978172
568,31067,11.014082,9.00474,163.6565,133.8,0.6757823,29.856491
569,31071,12.075371,12.43704,179.42601,184.8,0.8494145,-5.373993
570,31073,11.980407,10.37093,178.01495,154.09999,0.79537183,23.914963
571,31077,13.295521,12.38993,197.55603,184.1,0.69467366,13.456024
572,31079,13.816502,12.66586,205.2972,188.20001,0.65568846,17.097183
573,31081,15.058103,14.71851,223.74596,218.7,0.48019233,5.0459595
574,31083,11.808787,12.36974,175.46489,183.79999,0.8212813,-8.335098
575,31085,8.0423565,10.58629,119.5001,157.3,0.8918618,-37.799904
576,31087,4.0752525,9.6912,60.55353,144.0,0.7578148,-83.44647
577,31089,14.120949,14.20703,209.82094,211.1,0.65276486,-1.279068
578,31093,12.30333,10.24979,182.81323,152.3,0.7682455,30.51323
579,31095,12.38763,11.43427,184.06583,169.9,0.646885,14.1658325
580,31097,10.078352,8.42596,149.75262,125.2,0.7346333,24.552628
581,31099,14.643496,13.0562,217.58537,194.0,0.59955883,23.585373
582,31107,11.98718,10.23633,178.1156,152.1,0.67828697,26.015594
583,31109,10.621918,7.54433,157.82939,112.100006,0.7120302,45.729385
584,31111,11.330886,11.14488,168.36383,165.6,0.83863205,2.7638245
585,31119,12.647638,11.09777,187.92924,164.9,0.51543766,23.029251
586,31123,10.2885475,10.50553,152.8759,156.1,1.1114192,-3.2241058
587,31125,11.504108,9.49603,170.93771,141.1,0.7144955,29.837708
588,31127,11.902927,10.2969,176.86371,153.0,0.6029323,23.863708
589,31129,12.435645,11.00355,184.77928,163.5,0.7240566,21.279282
590,31131,10.422188,8.73554,154.86163,129.8,0.68400705,25.06163
591,31133,10.069536,9.44219,149.62164,140.3,0.77701926,9.32164
592,31137,15.450739,15.2771,229.58008,227.0,0.53216785,2.5800781
593,31139,13.549973,11.88518,201.33688,176.6,0.53612643,24.736877
594,31141,13.59686,11.50157,202.03358,170.9,0.48457354,31.13359
595,31143,14.032228,14.17338,208.50266,210.6,0.50111824,-2.097351
596,31145,6.789172,8.45961,100.879234,125.700005,0.85997254,-24.82077
597,31147,13.164644,11.23237,195.61136,166.90001,0.5777182,28.71135
598,31151,12.447043,10.60648,184.94864,157.59999,0.58346903,27.348648
599,31153,12.225009,10.55264,181.64946,156.8,0.6767009,24.849457
600,31155,12.618824,11.42754,187.5011,169.8,0.55728304,17.701096
601,31157,11.259614,11.13142,167.30481,165.40001,1.0591655,1.9048004
602,31159,12.447728,10.17576,184.95882,151.20001,0.5985728,33.758804
603,31163,12.640873,11.38716,187.82872,169.20001,0.7376926,18.628708
604,31167,11.712379,8.749,174.03238,130.0,0.60072756,44.03238
605,31169,13.964375,12.37647,207.49443,183.9,0.573272,23.594437
606,31173,11.631646,8.17022,172.83278,121.40001,0.58954346,51.43277
607,31175,13.133039,13.74939,195.14175,204.3,0.6724599,-9.158249
608,31177,12.220751,9.81234,181.5862,145.8,0.56591016,35.786194
609,31179,11.9147625,7.82026,177.03957,116.200005,0.58226895,60.83956
610,31181,12.187213,9.91329,181.08786,147.3,0.75668335,33.787857
611,31185,14.1315155,12.98217,209.97795,192.90001,0.4915215,17.077942
612,38001,5.107793,3.91013,75.89588,58.100002,1.0042657,17.79588
613,38003,10.171392,9.24702,151.1351,137.4,0.5509086,13.735107
614,38005,9.557827,8.65478,142.01823,128.6,0.58332723,13.418228
615,38009,8.641186,7.38281,128.39801,109.700005,0.53812224,18.698006
616,38011,4.998653,4.1053,74.27419,61.0,1.0105793,13.274193
617,38015,7.564228,6.00316,112.39566,89.200005,0.85113126,23.195656
618,38017,11.862697,11.62944,176.26593,172.8,0.3785563,3.4659271
619,38021,11.044823,10.23633,164.11327,152.1,0.5780194,12.01326
620,38023,6.9289775,4.82541,102.95657,71.7,0.7165077,31.256577
621,38025,5.5629735,5.14845,82.65934,76.5,0.9400731,6.15934
622,38027,9.315047,8.43269,138.41081,125.299995,0.6623847,13.110817
623,38029,7.6426687,6.45407,113.5612,95.9,0.8618987,17.661201
624,38031,10.063468,8.84995,149.53148,131.5,0.5626158,18.031479
625,38035,10.064573,10.18249,149.5479,151.3,0.5254689,-1.7521057
626,38037,5.5638976,4.93982,82.67307,73.4,1.0207074,9.273071
627,38039,9.734222,9.70466,144.63927,144.20001,0.58515227,0.43925476
628,38041,5.445311,4.74465,80.91101,70.5,0.95496535,10.411011
629,38043,8.078721,7.71931,120.040436,114.7,0.89324313,5.340439
630,38045,10.564704,9.61044,156.97926,142.8,0.56777096,14.17926
631,38047,7.593235,7.403,112.826675,110.0,0.8713728,2.8266754
632,38049,7.866814,7.43665,116.89174,110.5,0.7114349,6.391739
633,38051,7.7171736,6.83095,114.66826,101.5,0.8397834,13.168259
634,38053,6.6142697,8.0087,98.28038,119.00001,1.0525677,-20.719627
635,38055,7.4261603,6.77038,110.34414,100.6,0.70127875,9.744141
636,38057,6.732043,5.76088,100.03036,85.6,0.8777384,14.430359
637,38059,6.9802203,5.77434,103.71799,85.8,1.0395862,17.917984
638,38061,6.3582907,5.70031,94.47683,84.700005,0.69944453,9.776825
639,38063,9.426596,8.91052,140.06828,132.4,0.5857172,7.668289
640,38067,10.378128,9.71812,154.20695,144.4,0.5745586,9.806961
641,38069,7.714189,7.81353,114.62391,116.1,0.7232109,-1.4760895
