,FIPS,y_test_pred,y_test,y_test_pred_uncertainty,y_test_pred_cv,pred_error
349,26093,98.72286,-1.0,13.860076,0.14039378,99.72286
350,26099,87.27581,-1.0,15.704133,0.17993684,88.27581
351,26101,96.36875,-1.0,14.755744,0.15311752,97.36875
352,26105,88.09232,-1.0,14.579276,0.16549996,89.09232
353,26107,93.91128,-1.0,15.105912,0.16085301,94.91128
354,26109,74.63332,-1.0,14.276816,0.1912928,75.63332
355,26111,94.760506,-1.0,14.675432,0.15486866,95.760506
356,26113,97.10203,-1.0,14.736247,0.15176044,98.10203
357,26115,94.5485,-1.0,15.350661,0.16235754,95.5485
358,26117,98.28893,-1.0,14.492049,0.14744335,99.28893
359,26119,77.98026,-1.0,14.872882,0.19072624,78.98026
360,26121,88.688774,-1.0,15.454971,0.17426074,89.688774
361,26123,94.91381,-1.0,15.27644,0.16095065,95.91381
362,26125,102.40824,-1.0,16.270714,0.1588809,103.40824
363,26127,94.89633,-1.0,14.914589,0.15716718,95.89633
364,26129,90.95478,-1.0,15.194011,0.16705017,91.95478
365,26133,92.879616,-1.0,14.853925,0.15992664,93.879616
366,26141,66.28399,-1.0,15.174778,0.2289358,67.28399
367,26145,95.75988,-1.0,14.802011,0.15457425,96.75988
368,26147,78.75104,-1.0,14.726647,0.18700258,79.75104
369,26151,93.2165,-1.0,13.879006,0.14889002,94.2165
370,26155,88.25425,-1.0,14.56657,0.16505234,89.25425
371,26157,96.93858,-1.0,14.216142,0.14665101,97.93858
372,26161,91.27935,-1.0,15.095087,0.16537242,92.27935
373,26163,99.70516,-1.0,17.754265,0.17806765,100.70516
374,27001,72.28249,-1.0,13.456892,0.18617083,73.28249
375,27003,98.49256,-1.0,15.708567,0.15948988,99.49256
376,27005,94.2174,-1.0,13.477543,0.14304729,95.2174
377,27009,102.832924,-1.0,14.703486,0.14298423,103.832924
378,27011,85.3338,-1.0,14.391184,0.16864575,86.3338
379,27013,103.16141,-1.0,12.640211,0.122528486,104.16141
380,27015,109.37668,-1.0,12.893516,0.11788176,110.37668
381,27019,102.114365,-1.0,13.090991,0.12819931,103.114365
382,27025,98.30683,-1.0,14.421386,0.1466977,99.30683
383,27027,93.008484,-1.0,14.157851,0.15222107,94.008484
384,27029,101.07435,-1.0,14.484801,0.14330839,102.07435
385,27033,106.018875,-1.0,13.081571,0.12338907,107.018875
386,27035,99.532906,-1.0,14.678012,0.14746894,100.532906
387,27037,104.29905,-1.0,14.468612,0.13872238,105.29905
388,27039,96.906746,-1.0,12.477522,0.12875803,97.906746
389,27045,108.312096,-1.0,12.1109495,0.1118153,109.312096
390,27047,97.76855,-1.0,12.832169,0.13125049,98.76855
391,27049,103.79833,-1.0,12.161697,0.11716659,104.79833
392,27051,93.99554,-1.0,13.550491,0.144161,94.99554
393,27053,100.990395,-1.0,14.441859,0.1430023,101.990395
394,27055,111.6719,-1.0,12.64645,0.113246486,112.6719
395,27059,94.75614,-1.0,14.84084,0.15662141,95.75614
396,27063,104.859055,-1.0,12.679802,0.120922334,105.859055
397,27067,93.68482,-1.0,14.276902,0.15239291,94.68482
398,27073,91.77478,-1.0,14.971055,0.1631282,92.77478
399,27079,102.86242,-1.0,12.52862,0.121799774,103.86242
400,27081,101.79696,-1.0,14.614945,0.14356957,102.79696
401,27085,97.62867,-1.0,12.898311,0.13211602,98.62867
402,27087,98.89707,-1.0,13.129445,0.13275868,99.89707
403,27089,105.50132,-1.0,14.487207,0.13731778,106.50132
404,27095,92.60207,-1.0,14.394336,0.15544291,93.60207
405,27097,105.04476,-1.0,14.765964,0.1405683,106.04476
406,27099,96.604515,-1.0,12.980601,0.13436848,97.604515
