,FIPS,y_test_pred,y_test,y_test_pred_model_uncertainty,y_test_pred_cv,pred_error
184,19131,38.468575,-1.0,9.171822,0.23842375,39.468575
185,19133,48.81176,-1.0,9.787771,0.20052075,49.81176
186,19135,52.637688,-1.0,9.727732,0.18480545,53.637688
187,19137,54.968433,-1.0,9.427553,0.17150849,55.968433
188,19139,50.45581,-1.0,9.872802,0.19567224,51.45581
189,19141,45.878,-1.0,9.688055,0.21116996,46.878
190,19145,55.45189,-1.0,9.522772,0.17173034,56.45189
191,19147,42.089035,-1.0,9.487476,0.22541444,43.089035
192,19149,46.707897,-1.0,9.751211,0.20877008,47.707897
193,19151,46.749622,-1.0,9.346156,0.19991939,47.749622
194,19153,53.50178,-1.0,9.486989,0.17732099,54.50178
195,19157,48.341736,-1.0,9.617816,0.1989547,49.341736
196,19161,47.336037,-1.0,9.423151,0.19906929,48.336037
197,19163,53.511627,-1.0,9.744764,0.18210556,54.511627
198,19169,48.439537,-1.0,9.379484,0.19363283,49.439537
199,19173,49.602196,-1.0,9.257693,0.18663877,50.602196
200,19185,50.748974,-1.0,9.384347,0.18491697,51.748974
201,19187,47.64209,-1.0,9.318906,0.19560237,48.64209
202,19189,38.39288,-1.0,8.762666,0.22823675,39.39288
203,19191,44.60823,-1.0,9.367535,0.20999566,45.60823
204,19193,48.20907,-1.0,9.701598,0.2012401,49.20907
205,19195,35.186527,-1.0,8.744977,0.24853197,36.186527
206,20001,26.543999,-1.0,9.516287,0.35850993,27.543999
207,20003,24.66254,-1.0,9.203869,0.37319225,25.66254
208,20005,49.291134,-1.0,9.54981,0.19374296,50.291134
209,20011,27.372505,-1.0,9.758081,0.35649207,28.372505
210,20013,58.402218,-1.0,9.680562,0.16575675,59.402218
211,20015,33.146725,-1.0,9.239927,0.27875838,34.146725
212,20017,37.499928,-1.0,8.809662,0.23492476,38.499928
213,20029,38.949936,-1.0,9.240832,0.23724897,39.949936
214,20031,32.16671,-1.0,9.487462,0.2949466,33.16671
215,20035,29.700933,-1.0,8.981391,0.30239424,30.700933
216,20041,34.207367,-1.0,9.766826,0.2855182,35.207367
217,20045,35.281425,-1.0,9.844368,0.2790241,36.281425
218,20047,60.60608,-1.0,10.067351,0.16611125,61.60608
219,20053,39.1972,-1.0,9.394449,0.23967144,40.1972
220,20059,31.289114,-1.0,9.493568,0.30341443,32.289116
221,20061,44.11444,-1.0,9.908058,0.22459897,45.11444
222,20063,32.443024,-1.0,8.7473,0.26962036,33.443024
223,20065,33.4895,-1.0,8.27998,0.24724108,34.4895
224,20067,70.12416,-1.0,10.87774,0.15512115,71.12416
225,20069,64.30386,-1.0,10.429311,0.16218793,65.30386
226,20073,28.083988,-1.0,9.028928,0.32149735,29.083988
227,20075,34.170265,-1.0,9.570495,0.28008255,35.170265
228,20081,67.029396,-1.0,10.194143,0.15208466,68.029396
229,20085,46.948647,-1.0,9.601985,0.20452102,47.948647
230,20095,49.559086,-1.0,10.339041,0.20862049,50.559086
231,20099,20.720707,-1.0,9.701253,0.4681912,21.720707
232,20103,44.09843,-1.0,9.544235,0.21643028,45.09843
233,20111,30.495512,-1.0,8.674718,0.28445885,31.495512
234,20113,34.393593,-1.0,9.87877,0.28722703,35.393593
235,20115,32.042103,-1.0,9.587146,0.29920465,33.042103
236,20119,71.221794,-1.0,10.448794,0.14670782,72.221794
237,20121,28.834675,-1.0,9.628113,0.33390746,29.834675
238,20123,37.612823,-1.0,9.136293,0.24290368,38.612823
239,20125,27.545675,-1.0,9.92638,0.36036074,28.545675
240,20127,32.774986,-1.0,9.170497,0.2798017,33.774986
241,20131,50.7838,-1.0,9.673776,0.19048941,51.7838
242,20133,22.138645,-1.0,9.650878,0.43592903,23.138645
243,20135,35.98317,-1.0,8.703611,0.24188006,36.98317
244,20143,34.238106,-1.0,9.345453,0.27295473,35.238106
245,20151,61.25087,-1.0,9.993638,0.16315912,62.25087
246,20153,26.522621,-1.0,8.288725,0.3125153,27.522621
247,20155,52.71158,-1.0,10.153796,0.19262934,53.71158
248,20157,49.83545,-1.0,9.328315,0.18718232,50.83545
249,20159,42.146896,-1.0,10.359859,0.24580361,43.146896
250,20161,43.389824,-1.0,9.785829,0.2255328,44.389824
251,20167,36.29933,-1.0,8.902268,0.24524607,37.29933
252,20169,32.271587,-1.0,10.084627,0.31249243,33.271587
253,20171,34.41371,-1.0,9.254392,0.26891583,35.41371
254,20173,39.998528,-1.0,9.597614,0.2399492,40.998528
255,20177,46.658142,-1.0,9.743279,0.20882271,47.658142
256,20181,36.542328,-1.0,9.196444,0.2516655,37.542328
257,20185,63.951317,-1.0,10.308471,0.16119248,64.95132
258,20189,73.77479,-1.0,11.049138,0.14976849,74.77479
259,20191,30.326948,-1.0,9.203515,0.30347645,31.326948
260,20193,32.322113,-1.0,8.689121,0.268829,33.322113
261,20197,44.500343,-1.0,9.551542,0.21463974,45.500343
262,20203,34.372715,-1.0,9.166602,0.2666825,35.372715
263,20205,24.59816,-1.0,9.910947,0.40291417,25.59816
264,20207,27.690546,-1.0,9.648703,0.34844753,28.690546
321,26005,38.896908,-1.0,10.756217,0.27653143,39.896908
322,26007,17.23541,-1.0,10.424282,0.60481775,18.23541
323,26009,20.655224,-1.0,11.5588255,0.55960786,21.655224
324,26011,38.829384,-1.0,10.553453,0.2717904,39.829384
325,26015,35.872574,-1.0,10.643127,0.2966926,36.872574
326,26017,40.424988,-1.0,9.918008,0.24534349,41.424988
327,26021,35.681583,-1.0,10.19218,0.2856426,36.681583
328,26025,35.594887,-1.0,10.130221,0.28459767,36.594887
329,26027,37.02039,-1.0,10.397355,0.28085482,38.02039
330,26029,17.652601,-1.0,10.929697,0.61915505,18.652601
331,26035,32.22357,-1.0,11.526169,0.3576937,33.22357
332,26037,34.97097,-1.0,10.311455,0.29485756,35.97097
333,26041,11.384628,-1.0,10.766233,0.9456816,12.384628
334,26043,21.310362,-1.0,11.647386,0.54655975,22.310362
335,26045,36.63707,-1.0,9.937197,0.27123338,37.63707
336,26049,34.604187,-1.0,10.654583,0.30789867,35.604187
337,26051,34.15695,-1.0,11.090478,0.32469168,35.15695
338,26055,25.753557,-1.0,11.267758,0.4375224,26.753557
339,26057,39.273872,-1.0,10.557473,0.2688167,40.273872
340,26059,34.19332,-1.0,10.044139,0.29374564,35.19332
341,26063,37.915596,-1.0,10.119952,0.26690736,38.915596
342,26065,38.559555,-1.0,10.405686,0.26986012,39.559555
343,26067,36.536648,-1.0,10.354222,0.2833928,37.536648
344,26073,34.9071,-1.0,10.626553,0.3044238,35.9071
345,26075,37.172764,-1.0,10.555736,0.28396425,38.172764
346,26087,31.972633,-1.0,9.910163,0.30995768,32.972633
347,26089,22.035408,-1.0,11.340782,0.5146618,23.035408
348,26091,35.273216,-1.0,9.776915,0.27717674,36.273216
349,26093,36.25076,-1.0,10.416327,0.28734094,37.25076
350,26099,33.91205,-1.0,10.582013,0.31204286,34.91205
351,26101,29.79406,-1.0,11.669764,0.39168087,30.79406
352,26105,30.031096,-1.0,10.742963,0.35772797,31.031096
353,26107,34.750748,-1.0,11.055013,0.318123,35.750748
354,26109,12.867738,-1.0,10.3396845,0.8035355,13.867738
355,26111,38.197216,-1.0,10.549167,0.27617633,39.197216
