,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
453,31063,10.311805,10.92952,153.22147,162.4,0.83336097,-9.178528
454,31065,10.774034,10.96317,160.08966,162.90001,0.82561934,-2.8103485
455,31071,13.313864,13.6619,197.82858,203.0,0.89889085,-5.171417
456,31079,14.577141,14.44931,216.59943,214.70001,0.6690447,1.8994141
457,31081,16.267199,15.08193,241.71172,224.1,0.42598438,17.61171
458,31083,13.004196,11.58233,193.22728,172.09999,0.72712713,21.127289
459,31085,10.521672,11.16507,156.33986,165.9,1.0729475,-9.560135
460,31087,7.655126,8.69516,113.7463,129.2,1.1358634,-15.453697
461,31093,13.57657,13.60806,201.73209,202.2,0.68179065,-0.46791077
462,31095,12.939566,10.23633,192.26695,152.1,0.642663,40.166946
463,31097,12.501012,11.03047,185.75055,163.9,0.6636289,21.850555
464,31099,14.611546,13.31194,217.11064,197.8,0.58047295,19.310638
465,31101,11.658323,12.13419,173.22917,180.3,1.0073556,-7.0708313
466,31103,12.084809,11.43427,179.56627,169.9,1.1842897,9.666275
467,31107,13.006003,12.13419,193.25414,180.3,0.6557577,12.954132
468,31109,12.489723,11.07085,185.58281,164.5,0.7069248,21.08281
469,31111,13.495906,14.38201,200.53352,213.70001,0.9340776,-13.166489
470,31113,13.853394,13.54076,205.84537,201.2,0.92474943,4.6453705
471,31123,12.244929,11.56887,181.94547,171.9,1.2966821,10.045471
472,31129,12.799922,12.19476,190.192,181.20001,0.663773,8.991989
473,31133,11.951192,10.7007,177.58086,159.0,0.72602683,18.580856
474,31137,14.703512,13.38597,218.47716,198.90001,0.64601725,19.577148
475,31139,13.709662,12.93506,203.7097,192.2,0.5689256,11.509705
476,31141,14.495101,13.21772,215.3804,196.40001,0.53426784,18.980392
477,31143,14.816311,13.87726,220.15321,206.20001,0.52433634,13.953201
478,31145,10.013659,10.10846,148.79137,150.20001,0.9698003,-1.4086456
479,31151,13.675017,11.38716,203.19492,169.20001,0.6113953,33.994904
480,31153,13.033588,13.3927,193.66402,199.0,0.7385274,-5.3359833
481,31157,12.280693,10.80165,182.47687,160.5,1.3195256,21.976868
482,31161,9.556675,8.39231,142.00111,124.700005,1.3160639,17.30111
