,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
86,18063,13.916014,13.95129,206.77583,207.3,0.6077995,-0.5241699,"Hendricks County, IN"
87,18067,14.100378,14.43585,209.51527,214.5,0.52708095,-4.984726,"Howard County, IN"
88,18069,12.633121,12.67932,187.71353,188.40001,0.5842824,-0.68647766,"Huntington County, IN"
89,18071,13.135108,13.24464,195.17249,196.8,0.6686255,-1.6275177,"Jackson County, IN"
90,18075,13.210116,11.69674,196.28702,173.8,0.5559292,22.487015,"Jay County, IN"
91,18077,11.800055,11.42081,175.33513,169.7,0.6645763,5.635132,"Jefferson County, IN"
92,18079,12.88329,12.24187,191.43077,181.9,0.6376209,9.530777,"Jennings County, IN"
93,18081,13.550944,13.27156,201.35133,197.2,0.743306,4.1513367,"Johnson County, IN"
94,18083,13.456326,13.93783,199.9454,207.1,0.66691446,-7.154602,"Knox County, IN"
95,18085,13.045663,12.38993,193.84343,184.1,0.5623787,9.743423,"Kosciusko County, IN"
96,18087,12.648911,12.19476,187.94817,181.20001,0.60093576,6.7481537,"LaGrange County, IN"
97,18089,13.1217785,13.18407,194.97443,195.9,0.7020108,-0.9255676,"Lake County, IN"
98,18091,12.864228,12.43704,191.14752,184.8,0.6244873,6.347519,"LaPorte County, IN"
99,18095,14.196707,14.85311,210.94661,220.70001,0.54560894,-9.753403,"Madison County, IN"
100,18097,13.156958,12.86103,195.49715,191.09999,1.1698476,4.397156,"Marion County, IN"
101,18099,13.105412,11.66982,194.73123,173.4,0.58338314,21.331238,"Marshall County, IN"
102,18103,12.83028,12.27552,190.6431,182.40001,0.5609585,8.243088,"Miami County, IN"
103,18105,12.05348,12.90141,179.10075,191.7,0.7818596,-12.599243,"Monroe County, IN"
104,18107,14.864994,14.83292,220.87659,220.40001,0.4762608,0.47657776,"Montgomery County, IN"
105,18109,14.059647,13.41289,208.91005,199.3,0.62832725,9.610046,"Morgan County, IN"
106,18111,13.534565,13.53403,201.10796,201.1,0.5448437,0.007949829,"Newton County, IN"
107,18113,12.522262,12.14092,186.0663,180.4,0.56758344,5.6663055,"Noble County, IN"
108,18115,10.97526,9.39508,163.07964,139.59999,0.78300357,23.479645,"Ohio County, IN"
109,18119,12.823159,11.03047,190.5373,163.9,0.6753866,26.637299,"Owen County, IN"
110,18129,13.841783,13.66863,205.67285,203.09999,0.65286934,2.5728607,"Posey County, IN"
111,18131,13.151278,11.7102,195.41275,174.0,0.70452136,21.41275,"Pulaski County, IN"
112,18133,13.920683,12.82738,206.84521,190.6,0.542197,16.245209,"Putnam County, IN"
113,18135,14.027792,13.78304,208.43674,204.8,0.5404328,3.636734,"Randolph County, IN"
114,18137,12.673935,11.79769,188.31999,175.3,0.57480824,13.019989,"Ripley County, IN"
115,18139,14.376114,14.35509,213.6124,213.3,0.53902364,0.3123932,"Rush County, IN"
116,18141,12.682644,12.20822,188.44939,181.4,0.6380619,7.0493927,"St. Joseph County, IN"
117,18143,12.130585,12.45723,180.24643,185.09999,0.7117561,-4.8535614,"Scott County, IN"
118,18145,13.712902,13.94456,203.75783,207.2,0.61901015,-3.4421692,"Shelby County, IN"
119,18147,12.541028,11.56214,186.34514,171.8,0.7234307,14.5451355,"Spencer County, IN"
120,18149,12.110857,10.92279,179.95331,162.29999,0.7587036,17.65332,"Starke County, IN"
121,18151,12.48737,12.8543,185.54784,191.0,0.57048476,-5.4521637,"Steuben County, IN"
122,18153,13.427153,13.55422,199.51193,201.40001,0.6006452,-1.8880768,"Sullivan County, IN"
123,18157,14.261577,14.806,211.9105,220.0,0.47307518,-8.089493,"Tippecanoe County, IN"
124,18159,14.360069,14.71178,213.374,218.59999,0.5128422,-5.225998,"Tipton County, IN"
125,18161,14.526229,13.48019,215.84293,200.3,0.49801376,15.542923,"Union County, IN"
126,18163,13.404499,12.90141,199.17532,191.7,0.71302915,7.4753265,"Vanderburgh County, IN"
127,18167,12.944371,13.01582,192.33835,193.4,0.61234933,-1.0616455,"Vigo County, IN"
128,18169,12.535794,11.82461,186.26738,175.7,0.5766051,10.567383,"Wabash County, IN"
129,18175,12.539295,12.08035,186.3194,179.5,0.6965526,6.819397,"Washington County, IN"
130,18177,13.6149435,13.8638,202.30228,206.0,0.6054342,-3.6977234,"Wayne County, IN"
131,18179,13.669316,13.53403,203.1102,201.1,0.48311645,2.0101929,"Wells County, IN"
132,18183,11.727218,11.78423,174.25287,175.1,0.596036,-0.84713745,"Whitley County, IN"
133,19001,12.766028,14.21376,189.68839,211.20001,0.51345,-21.511627,"Adair County, IA"
134,19005,13.1795025,14.55699,195.83214,216.3,0.505511,-20.467865,"Allamakee County, IA"
135,19009,13.981035,15.08866,207.74199,224.20001,0.4451048,-16.458023,"Audubon County, IA"
136,19011,14.468101,16.05778,214.9792,238.59999,0.43570417,-23.620789,"Benton County, IA"
137,19013,13.251703,13.85707,196.90495,205.90001,0.47138357,-8.995056,"Black Hawk County, IA"
138,19015,14.092925,14.64448,209.40454,217.6,0.46326458,-8.195465,"Boone County, IA"
139,19017,13.217369,13.85707,196.39479,205.90001,0.47826618,-9.5052185,"Bremer County, IA"
140,19019,13.616571,14.85984,202.32648,220.8,0.47669095,-18.473526,"Buchanan County, IA"
141,19023,13.61419,14.11954,202.29109,209.8,0.4684697,-7.508911,"Butler County, IA"
142,19025,14.022964,15.39824,208.36499,228.8,0.45512104,-20.435013,"Calhoun County, IA"
143,19027,14.426441,16.21257,214.3602,240.90001,0.45810628,-26.53981,"Carroll County, IA"
144,19029,13.514412,14.6041,200.8085,217.0,0.46352696,-16.191498,"Cass County, IA"
145,19031,14.472835,15.89626,215.04955,236.20001,0.46435,-21.150467,"Cedar County, IA"
146,19033,13.262911,13.43981,197.07149,199.7,0.47472465,-2.6285095,"Cerro Gordo County, IA"
147,19035,13.65468,13.93783,202.89273,207.1,0.4282009,-4.2072754,"Cherokee County, IA"
148,19037,12.886074,13.89745,191.47212,206.50002,0.48844334,-15.027893,"Chickasaw County, IA"
149,19039,11.399366,12.37647,169.38138,183.9,0.6041525,-14.518616,"Clarke County, IA"
150,19041,11.192469,11.85153,166.30711,176.1,0.511838,-9.792892,"Clay County, IA"
151,19043,13.693916,14.81946,203.47572,220.2,0.4773775,-16.724274,"Clayton County, IA"
152,19045,14.750258,15.87607,219.17175,235.90001,0.48530814,-16.728256,"Clinton County, IA"
153,19047,14.345516,14.41566,213.15775,214.2,0.450099,-1.0422516,"Crawford County, IA"
154,19051,12.764352,13.11677,189.66348,194.9,0.55085003,-5.236511,"Davis County, IA"
155,19053,11.682609,11.58906,173.59003,172.2,0.59555644,1.3900299,"Decatur County, IA"
