,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
93,17187,15.764082,0.0,234.236,0.0,0.36778814,234.236,"Warren County, IL"
94,17189,14.134968,0.0,210.02924,0.0,0.51153344,210.02924,"Washington County, IL"
95,17191,14.473932,0.0,215.06586,0.0,0.53644913,215.06586,"Wayne County, IL"
96,17193,14.512444,0.0,215.63809,0.0,0.56652796,215.63809,"White County, IL"
97,17195,15.387583,0.0,228.64165,0.0,0.39214134,228.64165,"Whiteside County, IL"
98,17197,14.740694,0.0,219.02963,0.0,0.48434955,219.02963,"Will County, IL"
99,17199,13.647369,0.0,202.78409,0.0,0.62229955,202.78409,"Williamson County, IL"
100,17201,14.531847,0.0,215.9264,0.0,0.4141496,215.9264,"Winnebago County, IL"
101,17203,15.766556,0.0,234.27275,0.0,0.40350705,234.27275,"Woodford County, IL"
102,18001,13.900394,0.0,206.54375,0.0,0.4954162,206.54375,"Adams County, IN"
103,18003,13.70145,0.0,203.58768,0.0,0.54677695,203.58768,"Allen County, IN"
104,18005,13.849312,0.0,205.78473,0.0,0.5128015,205.78473,"Bartholomew County, IN"
105,18007,15.375645,0.0,228.46426,0.0,0.4507279,228.46426,"Benton County, IN"
106,18009,13.687431,0.0,203.37936,0.0,0.50375956,203.37936,"Blackford County, IN"
107,18011,14.381934,0.0,213.69888,0.0,0.4575419,213.69888,"Boone County, IN"
108,18013,12.370466,0.0,183.81079,0.0,0.71295506,183.81079,"Brown County, IN"
109,18015,14.9485035,0.0,222.11743,0.0,0.4472356,222.11743,"Carroll County, IN"
110,18017,14.435221,0.0,214.49065,0.0,0.5006104,214.49065,"Cass County, IN"
111,18019,14.027686,0.0,208.43517,0.0,0.60676944,208.43517,"Clark County, IN"
112,18021,14.399698,0.0,213.96283,0.0,0.5134164,213.96283,"Clay County, IN"
113,18023,14.873147,0.0,220.99773,0.0,0.43279108,220.99773,"Clinton County, IN"
114,18025,10.722513,0.0,159.32413,0.0,0.9781832,159.32413,"Crawford County, IN"
115,18027,15.084879,0.0,224.14381,0.0,0.47181994,224.14381,"Daviess County, IN"
116,18029,13.097525,0.0,194.61404,0.0,0.6304038,194.61404,"Dearborn County, IN"
117,18031,14.267034,0.0,211.9916,0.0,0.479715,211.9916,"Decatur County, IN"
118,18033,13.223215,0.0,196.48166,0.0,0.54596406,196.48166,"DeKalb County, IN"
119,18035,13.744236,0.0,204.22342,0.0,0.49744728,204.22342,"Delaware County, IN"
120,18037,14.422647,0.0,214.30383,0.0,0.54740334,214.30383,"Dubois County, IN"
121,18039,14.265217,0.0,211.96458,0.0,0.54480916,211.96458,"Elkhart County, IN"
122,18041,14.067966,0.0,209.03368,0.0,0.5103465,209.03368,"Fayette County, IN"
123,18043,13.598158,0.0,202.05287,0.0,0.6557713,202.05287,"Floyd County, IN"
124,18045,14.53771,0.0,216.01352,0.0,0.5154133,216.01352,"Fountain County, IN"
125,18047,13.50613,0.0,200.68544,0.0,0.5699527,200.68544,"Franklin County, IN"
126,18049,14.082041,0.0,209.24281,0.0,0.54382217,209.24281,"Fulton County, IN"
127,18051,15.011249,0.0,223.04976,0.0,0.49789816,223.04976,"Gibson County, IN"
128,18053,13.977931,0.0,207.69586,0.0,0.48121297,207.69586,"Grant County, IN"
129,18055,14.473411,0.0,215.0581,0.0,0.51598656,215.0581,"Greene County, IN"
130,18057,13.881815,0.0,206.26768,0.0,0.52662146,206.26768,"Hamilton County, IN"
131,18059,13.869315,0.0,206.08195,0.0,0.5224068,206.08195,"Hancock County, IN"
132,18061,13.907364,0.0,206.64731,0.0,0.59199274,206.64731,"Harrison County, IN"
133,18063,14.549133,0.0,216.18326,0.0,0.48280498,216.18326,"Hendricks County, IN"
134,18065,13.786047,0.0,204.84468,0.0,0.518542,204.84468,"Henry County, IN"
135,18067,14.985907,0.0,222.6732,0.0,0.43068227,222.6732,"Howard County, IN"
136,18069,14.066693,0.0,209.01476,0.0,0.49192077,209.01476,"Huntington County, IN"
