,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
62,19089,7.6462955,52.1,0.88914305
63,55027,7.112217,51.0,0.7582348
64,19023,7.3460655,55.0,0.7372104
65,29185,3.6920652,42.3,0.6442658
66,20167,3.7988987,30.3,0.643447
67,17181,4.04346,34.0,0.7290489
68,55023,4.975794,44.8,0.7502361
69,19051,5.2930193,54.6,0.703521
70,18001,5.490857,50.8,0.8217868
71,20195,0.32393324,34.8,0.7290777
72,39129,5.6684875,48.1,0.7433113
73,19113,7.729416,56.5,0.68223906
74,31089,9.484055,60.0,0.8664311
75,38013,3.4665904,29.3,0.9869252
77,39157,3.8588061,52.8,0.79733086
78,31119,8.224142,57.8,0.72602403
79,19141,8.472586,56.0,0.79323024
80,46083,7.398075,49.2,0.79478395
81,38075,4.479221,30.7,0.9953706
82,18059,5.5871153,42.3,0.7876891
84,18025,4.2582026,46.3,0.83606064
85,20027,5.5191894,45.3,0.6054627
86,31147,6.123228,54.9,0.67379206
87,55141,4.851857,40.6,1.1132619
88,19169,6.4547467,50.0,0.65618175
89,38103,4.2520876,30.9,1.1739584
90,27117,6.3992357,44.8,1.060261
91,18087,4.9843025,47.5,0.7885634
93,20055,10.059577,56.2,0.67365855
94,26067,5.605953,45.7,0.7345894
95,26155,5.26187,34.6,0.7965092
96,18115,3.9558978,30.8,0.7832551
98,20117,4.367465,48.0,0.6459472
99,46079,6.6619663,42.0,0.9755768
100,26063,6.180274,43.5,0.8909117
101,17033,5.6649575,49.5,0.69237804
102,19001,6.7997017,53.3,0.67160004
103,18177,6.2332964,50.1,0.80301225
104,18175,4.944695,44.1,0.7532205
106,20079,5.0320663,37.3,0.64845324
107,26091,5.083414,45.6,0.8736877
108,17061,6.593422,60.7,0.7192444
109,55001,6.193072,48.6,0.91959363
110,19029,7.2349625,56.9,0.6638396
112,39043,4.2970657,51.5,0.76415277
113,17089,7.5185776,50.3,0.8299092
114,29033,4.4615655,43.5,0.68992555
115,55063,5.6843767,47.7,0.84922034
116,39009,3.9683175,58.6,0.87376565
117,19091,7.078535,54.9,0.7475689
118,19057,7.2738132,55.1,0.7802424
119,29187,4.4579635,48.1,0.7574595
120,27039,7.02767,48.7,1.0179428
121,27005,3.7359266,35.2,1.3578647
123,20169,3.6388006,43.0,0.6267108
124,29095,4.463113,41.6,0.6519446
125,27159,0.06665254,42.7,1.3192602
126,39103,3.2901845,44.2,0.80176276
127,19087,7.4032145,56.9,0.7500035
129,18003,5.223424,52.3,0.84901464
130,39131,4.2725573,42.9,0.82115734
131,31125,8.58124,62.0,0.719887
132,19115,7.3674545,54.3,0.7473152
133,38017,4.68563,34.9,1.2591137
134,27095,4.277667,33.6,1.0825124
135,18065,5.914445,45.8,0.85129344
136,29183,4.7056046,46.6,0.68845266
137,39159,5.306917,44.2,0.78870046
138,55115,4.5855637,42.8,1.1322759
139,19143,7.7805386,50.5,0.84017664
140,26133,4.5544834,45.0,1.0088205
141,38077,4.925454,35.6,1.2812253
142,18061,4.8290777,43.6,0.715408
144,18027,5.4513254,53.5,0.70367736
145,31149,8.478042,54.0,0.8157347
146,19171,7.7872324,53.4,0.69370806
147,26161,4.2340527,42.7,0.8427429
148,29186,4.0297728,43.5,0.73403114
149,27119,3.9600344,35.3,1.3369339
150,18089,6.1855454,48.3,0.8281161
151,46021,4.0339556,43.0,1.2025846
152,26069,3.4561648,41.2,0.9422944
153,31177,6.743444,54.4,0.6484204
154,26157,6.296051,42.9,0.8377314
155,18117,5.6650405,56.6,0.8154899
157,20085,4.259784,46.2,0.6482197
158,17035,6.179851,50.6,0.72022045
159,29011,3.3382502,39.2,0.6297761
160,17001,5.57076,49.8,0.7120903
161,18145,6.3428073,51.8,0.76220775
163,20147,4.9143524,43.8,0.673566
164,29073,3.8842306,43.3,0.77985895
165,17063,7.76845,49.0,0.84001595
166,29007,4.5059533,52.3,0.67789614
167,29069,4.298815,46.3,0.6500883
168,39045,5.058687,53.8,0.7462177
169,17091,6.8349385,52.3,0.8243221
170,55065,8.015665,59.4,0.7442245
171,39011,5.795728,48.8,0.82229096
172,31037,8.140993,60.1,0.6695428
173,19059,6.784412,51.3,0.808662
174,29189,4.7204533,49.9,0.7090936
175,27007,-0.78035414,32.8,1.4302882
177,17153,3.9877944,43.2,0.6558552
178,29097,2.9497166,38.2,0.65197957
179,27161,6.8192945,52.4,0.88788384
180,55093,5.5291853,47.6,1.0670104
181,19121,6.420332,52.3,0.66342115
182,27069,3.5843449,30.1,1.3449804
184,39133,3.0013013,46.6,0.90989393
185,31127,6.1575246,53.0,0.6613718
186,31093,8.429663,59.9,0.7229476
187,38019,3.2959895,26.0,1.3289906
188,27097,5.3345647,40.5,1.1683886
189,18067,6.457736,55.4,0.83881795
190,18033,4.6529837,52.4,0.85258734
191,39161,5.887169,54.2,0.8630411
192,31155,7.497878,55.1,0.65218914
193,55117,6.4477615,49.9,0.85877794
194,19145,6.831723,55.9,0.6507218
195,46087,6.9119873,46.5,0.8267985
196,27125,4.120413,36.7,1.4098091
197,18063,6.238801,53.1,0.77944416
199,18029,4.147255,30.9,0.75744843
200,20031,4.089595,33.9,0.66763824
201,31151,6.9022036,56.4,0.6347883
202,19173,6.533414,49.9,0.6671326
203,46115,5.164775,41.7,1.0794
204,18091,6.3490925,50.1,0.83350396
205,46023,6.200138,46.9,0.75887567
206,17041,8.454638,62.4,0.79533416
207,31179,8.192738,58.1,0.6927472
209,20121,4.257248,43.3,0.61228883
210,46051,5.6901665,40.9,1.0934969
211,20087,5.056243,49.2,0.6488802
212,26099,4.2048407,37.7,0.8336878
213,17037,8.120102,55.6,0.84079236
214,18181,6.751354,52.8,0.7834147
215,18147,5.1306295,53.3,0.6643955
217,20149,5.4168305,49.5,0.65229964
218,29041,4.465543,51.2,0.6826165
219,55005,4.6688766,42.0,1.2405819
220,19033,7.3056145,52.7,0.8307099
222,29071,4.1943903,43.8,0.76750624
223,39047,6.2810855,51.9,0.77884483
224,17093,8.121933,57.4,0.85401917
225,19095,7.3385696,52.3,0.6878258
226,31039,8.081581,62.2,0.68309146
227,55033,5.0549784,48.0,1.1825564
228,19061,7.750269,60.2,0.71226394
229,27011,5.2691393,42.1,1.1381546
231,20173,4.3952255,36.3,0.64678377
232,29099,3.5690641,43.1,0.77011776
233,27163,5.821924,51.0,0.9769329
234,39075,3.8891792,47.1,0.79469997
235,17121,5.2772174,46.5,0.665986
236,55095,4.952465,37.8,1.1245388
237,19123,7.0734234,53.7,0.6612511
238,31067,6.4398355,56.0,0.6288752
239,29219,4.2849684,47.5,0.72435606
240,27071,-0.8794162,32.3,1.4695225
242,18007,7.593588,54.5,0.8223719
243,29127,5.0589547,47.7,0.6833039
244,39135,6.416977,52.1,0.7973366
245,19119,8.532497,54.8,0.81042176
246,31095,7.0551243,60.9,0.63359153
247,38021,4.4286084,35.0,1.1912289
248,27099,7.3933353,49.7,0.98915446
249,18069,5.531244,54.3,0.8164069
251,18035,5.3409677,48.8,0.7659882
252,29155,4.24776,45.7,0.66270363
253,19147,6.8077345,55.6,0.79427564
254,46089,3.1656356,36.8,1.190968
255,38049,4.5277414,30.4,1.073813
256,27127,6.0065565,50.1,1.007846
257,18097,5.062992,47.6,0.7737281
259,18031,6.3990927,53.9,0.74490714
