,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
858,55093,3.7915936,3.77553,56.338688,56.100002,0.14580356,0.23868561,"Pierce County, WI"
859,55095,3.478477,3.2977,51.68614,49.0,0.16703725,2.6861382,"Polk County, WI"
860,55097,3.254968,3.2304,48.36505,48.0,0.1793307,0.36505127,"Portage County, WI"
861,55099,2.7770767,2.51702,41.26414,37.4,0.32354498,3.8641396,"Price County, WI"
862,55101,3.5827394,3.60055,53.235355,53.5,0.17520265,-0.26464462,"Racine County, WI"
863,55103,3.4334066,3.29097,51.01644,48.9,0.19843,2.1164398,"Richland County, WI"
864,55105,3.911078,3.82937,58.114086,56.9,0.17604999,1.2140846,"Rock County, WI"
865,55107,2.9920924,2.83333,44.459026,42.1,0.22900544,2.3590279,"Rusk County, WI"
866,55109,3.5819182,3.59382,53.223156,53.4,0.15649827,-0.17684555,"St. Croix County, WI"
867,55111,3.5126429,3.45922,52.1938,51.399998,0.19260111,0.79380417,"Sauk County, WI"
868,55113,2.9689012,3.07561,44.11443,45.7,0.27692086,-1.5855713,"Sawyer County, WI"
869,55115,3.3675394,3.00831,50.037735,44.7,0.19446783,5.337734,"Shawano County, WI"
870,55117,3.5686283,3.57363,53.02568,53.100002,0.16338533,-0.07432175,"Sheboygan County, WI"
871,55119,3.1597843,3.34481,46.950733,49.7,0.21304789,-2.7492676,"Taylor County, WI"
872,55121,3.5823073,3.04869,53.228935,45.300003,0.16868034,7.928932,"Trempealeau County, WI"
873,55123,3.5779428,3.38519,53.164085,50.3,0.17306045,2.8640862,"Vernon County, WI"
874,55127,3.8842134,3.68131,57.714912,54.7,0.15841027,3.0149117,"Walworth County, WI"
875,55129,3.2324,3.04196,48.029716,45.2,0.22216125,2.8297157,"Washburn County, WI"
876,55131,3.540452,3.59382,52.607014,53.4,0.17084128,-0.7929878,"Washington County, WI"
877,55133,3.3449047,3.19002,49.70141,47.4,0.20124105,2.3014069,"Waukesha County, WI"
878,55135,3.2822976,3.08234,48.771137,45.8,0.1849119,2.971138,"Waupaca County, WI"
879,55137,3.2645698,3.01504,48.507725,44.8,0.16847122,3.7077255,"Waushara County, WI"
880,55139,3.5152993,3.27751,52.233273,48.7,0.17570268,3.5332718,"Winnebago County, WI"
881,55141,3.413203,3.54671,50.71624,52.7,0.19095376,-1.9837608,"Wood County, WI"
