,FIPS,y_test_pred,y_test
314,20177,26.270912,137.9
315,20179,22.06861,96.3
316,20181,16.983892,97.9
317,20183,22.006567,90.9
318,20189,40.31006,150.0
319,20191,24.648233,120.5
320,20193,18.284369,108.7
321,20197,24.005613,97.8
322,20205,18.815256,101.3
392,26005,18.369268,176.1
393,26007,9.987296,160.4
394,26009,13.069902,141.1
395,26011,23.224005,158.5
396,26015,15.407795,158.6
397,26017,23.766691,177.5
398,26023,19.245695,168.9
399,26025,17.935753,148.3
400,26027,19.11538,156.3
401,26043,1.5312802,146.3
402,26045,18.027184,164.7
403,26047,9.899729,123.1
404,26049,19.062662,157.3
405,26051,18.400724,152.6
406,26055,15.450222,126.9
407,26057,20.610779,168.6
408,26059,18.20463,160.7
409,26063,21.977442,193.3
410,26065,17.950394,180.2
411,26067,18.66015,175.0
412,26073,18.337729,151.7
413,26075,18.466074,164.8
414,26077,16.754045,145.0
415,26081,18.652582,178.4
416,26087,18.713333,170.1
417,26091,20.178976,191.5
418,26093,17.600561,160.9
419,26099,25.259607,174.6
420,26101,17.450542,131.9
421,26105,15.8516445,153.0
422,26107,18.257166,131.2
423,26109,2.1918535,133.6
424,26111,22.496452,177.9
425,26113,19.58848,160.9
426,26115,20.855211,192.5
427,26117,19.964191,153.7
428,26119,10.983367,149.4
429,26121,17.850836,138.6
430,26123,16.127272,157.3
431,26125,25.702782,160.2
432,26127,17.904875,151.5
433,26129,18.529236,161.0
434,26137,12.74457,154.4
435,26139,19.808748,180.5
436,26141,8.055216,118.0
437,26145,23.318083,178.5
438,26147,17.664665,167.3
439,26149,18.218798,123.0
440,26151,21.016434,184.6
441,26155,17.892332,164.8
442,26157,22.493658,181.7
443,26159,15.827273,184.8
444,26161,18.804136,186.8
445,26163,26.062914,159.1
446,27001,4.7347884,129.9
447,27005,20.703213,167.7
448,27009,18.548489,164.6
449,27011,23.169636,180.6
450,27013,20.881798,199.2
451,27015,20.954218,193.2
452,27017,11.471351,144.2
453,27019,18.550215,192.2
454,27021,12.7928295,144.8
455,27023,21.523489,194.9
456,27025,15.387434,155.4
457,27027,23.896223,161.0
458,27033,23.46298,202.6
459,27035,13.571751,128.3
460,27037,21.388144,183.1
461,27039,20.325811,189.6
462,27045,19.584248,183.0
463,27047,22.443563,182.7
464,27049,19.451609,195.9
465,27051,22.613974,187.4
466,27055,18.262701,177.0
467,27059,16.902008,154.8
468,27063,23.256586,204.7
469,27067,22.079435,203.7
470,27073,22.676157,183.9
471,27079,20.715689,193.3
472,27081,21.425386,181.5
473,27085,17.765882,177.4
474,27087,19.386639,183.0
475,27089,21.663046,163.8
476,27093,19.623627,192.9
477,27095,13.650186,137.4
478,27097,18.531286,145.0
479,27099,20.040583,170.1
480,27103,21.36084,196.1
481,27105,22.006807,198.7
482,27107,19.34792,166.1
483,27109,19.805054,174.8
484,27111,23.40082,157.9
485,27115,11.252566,151.9
486,27117,19.608858,161.8
487,27119,21.609272,146.9
488,27121,22.454756,179.5
489,27125,21.274359,170.8
490,27127,19.765772,176.0
491,27129,19.303654,208.3
492,27131,19.784822,194.6
493,27139,20.991789,191.9
494,27141,21.672823,173.2
495,27143,18.806395,182.7
496,27145,19.96356,187.3
497,27147,20.316523,189.9
498,27149,23.28618,195.3
499,27151,23.254179,197.0
500,27153,19.144888,148.3
501,27155,19.89866,187.5
502,27159,20.833792,152.4
503,27161,20.58327,201.6
504,27163,18.776398,194.6
505,27165,22.107723,209.3
506,27167,21.665977,142.5
507,27169,18.717388,197.8
508,27171,18.875559,180.6
509,27173,22.245867,179.1
510,29003,27.185942,175.7
511,29007,21.311375,115.3
512,29011,19.696064,149.0
513,29013,24.409843,143.6
514,29017,12.992519,119.2
515,29019,19.833727,122.8
516,29021,32.145164,175.2
517,29025,22.46015,148.7
518,29027,15.968498,141.4
519,29031,16.087507,140.0
520,29033,26.444012,154.8
521,29045,21.62781,166.6
522,29047,30.655294,190.6
523,29049,27.368013,189.1
524,29051,15.189888,130.8
525,29053,21.461735,105.0
526,29057,15.970791,95.2
527,29059,7.800203,124.1
528,29061,22.81225,146.0
529,29063,24.669855,190.4
530,29069,25.439089,164.0
531,29071,13.556479,131.5
532,29073,11.153894,113.5
533,29075,22.702602,160.0
534,29079,23.805819,156.1
535,29083,18.734217,123.6
536,29085,9.324205,101.2
537,29087,33.943336,219.0
538,29089,23.33805,149.1
539,29095,29.778608,186.7
540,29097,14.148234,141.5
541,29099,8.523602,118.1
542,29101,20.979176,129.3
543,29103,19.791176,130.9
544,29105,13.952058,144.0
545,29107,30.225523,176.7
546,29109,14.701635,88.4
547,29111,18.863234,147.7
548,29113,17.982262,159.2
549,29115,21.450903,157.2
550,29117,24.369743,142.7
551,29121,21.057371,136.8
552,29125,10.560866,75.9
553,29127,22.583857,124.9
554,29131,12.523178,112.1
555,29133,25.968714,177.3
556,29135,19.05627,113.9
557,29137,19.930368,82.0
558,29139,16.15796,139.6
559,29143,25.170576,186.4
560,29151,12.734962,113.3
561,29155,22.979433,188.8
562,29157,12.079729,133.1
563,29159,18.108507,121.3
564,29165,32.90251,166.7
565,29167,12.93635,142.3
566,29171,5.576703,144.0
567,29173,22.64675,97.2
568,29175,20.603079,105.2
569,29177,24.623976,173.0
570,29183,22.75952,165.9
571,29185,16.012888,79.8
572,29186,13.387847,148.7
573,29187,10.40466,139.3
574,29195,28.243628,175.7
575,29199,18.953142,167.6
576,29201,24.90036,178.8
577,29205,21.269098,105.4
578,29207,22.786152,173.4
579,29211,19.692404,147.2
580,29217,18.152,104.7
581,29219,15.697301,143.5
582,29223,-0.45790726,89.9
583,29227,21.45894,170.4
584,31001,30.56906,204.5
585,31013,25.07081,160.3
586,31015,27.507536,171.5
587,31017,39.419853,211.9
588,31019,28.447746,196.4
589,31021,25.266653,174.3
590,31023,27.145176,187.0
591,31025,23.888762,195.7
592,31027,31.151638,196.9
593,31029,24.43175,164.8
594,31033,14.616594,99.4
595,31035,26.760296,193.7
596,31037,26.972097,173.8
597,31039,27.318623,164.8
598,31041,29.582243,193.2
599,31043,29.097868,196.7
600,31047,27.510052,234.5
601,31049,15.944334,118.5
602,31051,29.667885,178.8
603,31053,24.799444,198.2
604,31055,27.686033,165.6
605,31057,24.246632,155.3
606,31059,26.960169,186.6
607,31061,26.89027,196.8
608,31065,19.399916,116.8
609,31067,24.740843,164.6
610,31069,18.03279,141.2
611,31071,33.430225,192.9
612,31073,25.777803,206.6
613,31077,30.543074,193.4
614,31079,29.815973,214.9
615,31081,30.875639,218.9
616,31083,26.753633,191.7
617,31085,20.518522,132.5
618,31087,19.105188,109.6
619,31089,39.393066,223.7
620,31093,28.43685,216.6
621,31095,26.144918,140.8
622,31097,22.953835,173.6
623,31099,29.033821,202.8
624,31103,38.160034,215.0
625,31107,33.98216,167.0
626,31109,23.43297,139.6
627,31111,27.301535,189.7
628,31113,34.013443,202.6
629,31115,29.448378,178.5
630,31119,28.727592,175.0
631,31121,31.961836,198.9
632,31123,27.546398,173.1
633,31127,27.0504,189.9
634,31133,22.61803,173.8
635,31137,29.617834,227.2
636,31141,28.220312,207.4
637,31143,29.861238,190.3
638,31147,26.887594,194.8
639,31149,39.12934,232.3
640,31151,26.312296,157.6
641,31153,28.887882,182.4
642,31155,26.178984,191.3
643,31157,30.725481,186.5
644,31163,30.627789,198.2
645,31165,33.803383,161.5
646,31167,26.475027,163.2
647,31169,29.759317,166.6
648,31175,29.755093,210.1
649,31177,24.22347,155.3
650,31179,27.549524,160.3
651,31181,24.562836,147.3
652,31183,39.44175,225.8
653,38001,12.261384,96.9
654,38003,22.476233,143.1
655,38005,20.654163,101.5
656,38009,19.483545,113.3
657,38011,12.966759,112.0
658,38015,17.72029,138.7
659,38017,22.264908,161.3
660,38019,16.586754,92.4
661,38021,23.329514,167.5
662,38025,11.652899,109.5
663,38027,23.153326,146.5
664,38029,17.364935,144.8
665,38031,18.750473,154.6
666,38033,7.43883,104.6
667,38035,22.067852,134.3
668,38037,12.948803,125.9
669,38039,24.155592,147.5
670,38041,12.215234,116.9
671,38043,21.584995,127.0
672,38045,21.550797,161.9
673,38047,19.251257,139.3
674,38049,19.356472,107.9
675,38051,16.952475,140.6
676,38055,16.466143,118.4
677,38059,14.594322,134.5
678,38061,16.532988,64.5
679,38063,18.670355,120.1
680,38065,14.77733,130.0
681,38067,21.662949,122.1
682,38069,18.971764,106.0
683,38071,22.853027,104.7
684,38073,28.074432,176.2
685,38075,18.460321,98.4
686,38077,25.814152,165.1
687,38079,15.93309,58.2
688,38081,25.911055,160.3
689,38083,18.058626,122.3
690,38085,6.9354286,121.9
691,38087,10.845482,106.2
692,38089,11.053643,112.5
693,38091,22.907827,151.2
694,38093,20.319954,153.9
695,38097,21.33885,153.1
696,38099,20.482721,124.9
697,38101,18.950521,121.5
698,38103,20.087978,155.7
699,38105,14.433493,85.2
700,39003,18.232483,190.3
701,39007,10.761233,179.7
702,39009,7.1056504,195.9
703,39011,18.928484,194.4
704,39013,6.591044,165.0
705,39015,16.801285,210.7
706,39017,17.56064,194.4
707,39019,7.062199,153.7
708,39021,17.937933,203.3
709,39023,19.52669,194.7
710,39027,19.543295,222.1
711,39029,9.355935,181.1
712,39031,9.715004,182.7
713,39033,18.34231,205.1
714,39037,20.09535,210.4
715,39039,16.47988,172.1
716,39041,18.47724,193.7
717,39043,21.279879,190.4
718,39045,16.547302,193.6
719,39047,19.55764,209.8
720,39051,19.599405,200.5
721,39053,10.370493,180.1
722,39055,8.332083,179.5
723,39057,20.98422,214.4
724,39059,7.6228065,170.5
725,39065,15.805613,188.8
726,39067,8.336433,176.6
727,39069,19.983849,199.4
728,39071,16.68355,205.3
729,39075,12.121643,175.5
730,39077,16.59334,199.4
731,39079,9.698605,144.5
732,39081,8.496361,161.9
733,39083,14.742122,183.5
734,39089,15.3171215,185.4
735,39091,17.24896,183.2
736,39093,18.032862,192.7
737,39095,25.608793,200.4
738,39097,16.408602,203.1
739,39099,12.635988,189.6
740,39103,15.569835,187.9
741,39105,6.04023,170.1
742,39107,19.762407,204.7
743,39109,20.34891,200.7
744,39111,7.167361,148.5
745,39113,19.83966,198.6
746,39115,7.84543,173.8
747,39119,11.991291,181.8
748,39121,5.473477,162.0
749,39123,20.718561,193.6
750,39125,17.928549,184.0
751,39127,12.5848465,191.9
752,39129,19.965258,201.5
753,39131,11.287525,178.9
754,39133,9.674683,180.9
755,39135,19.356495,210.9
756,39137,17.477388,199.9
757,39139,17.142984,179.4
758,39141,15.353884,205.9
759,39145,7.2636228,190.3
760,39147,18.21841,199.1
761,39149,17.659258,202.2
762,39151,13.815859,194.9
763,39155,11.534891,207.0
764,39157,7.821634,183.3
765,39159,17.899427,205.0
766,39161,16.75852,196.0
767,39165,18.912779,209.4
768,39167,6.806688,173.9
769,39169,14.917191,193.6
770,39173,20.304747,218.6
771,39175,18.251638,199.3
772,46003,20.228905,124.6
773,46009,23.664625,157.9
774,46011,22.528826,164.7
775,46013,22.3192,175.6
776,46015,19.698124,130.4
777,46019,21.775019,140.5
778,46021,18.758547,161.4
779,46023,23.95773,133.6
780,46025,23.40372,164.7
781,46027,22.793016,175.6
782,46031,15.97068,125.3
783,46035,21.451555,158.6
784,46043,21.95629,150.2
785,46045,18.531096,149.4
786,46051,22.896347,143.1
787,46055,12.809894,82.9
788,46057,21.722788,175.8
789,46059,20.607708,151.7
790,46061,20.896544,168.0
791,46065,17.604279,135.8
792,46067,21.548151,151.5
793,46073,22.09641,141.2
794,46083,21.251993,152.5
795,46085,17.335155,131.1
796,46087,18.628618,148.6
797,46089,19.607588,158.7
798,46091,23.260225,161.3
799,46097,20.862598,138.7
800,46101,22.649935,174.6
801,46105,14.022104,88.8
802,46109,24.711246,150.1
803,46115,22.670351,171.3
804,46119,17.745066,134.0
805,46125,22.280096,158.0
806,46127,25.733053,177.9
