,FIPS,pred,yield,uncertainty
630,31181,37.552185,44.5,3.0606873
632,29087,64.718346,56.9,2.7231534
633,29053,45.627983,40.9,2.833995
634,17119,60.10297,55.9,2.8057568
635,46025,41.74761,45.6,2.9223611
636,38015,36.058807,38.4,2.9153256
637,39045,59.400146,59.2,2.198245
638,39019,47.121838,45.4,3.503001
639,20117,42.11616,37.2,2.999117
640,20091,32.765476,27.9,3.686333
641,29059,32.73145,29.0,4.3765616
642,46101,48.3995,49.9,2.727985
643,29025,48.174015,42.4,2.687097
644,38077,44.08476,40.9,2.4294238
645,17091,61.002117,60.8,2.1378014
646,46061,43.583485,43.3,2.817546
647,39081,51.97925,50.7,3.8832884
648,55023,47.268986,43.1,3.1518445
649,29095,45.915966,49.9,3.4718232
650,38049,29.04446,29.1,3.0426
651,17127,54.483994,50.3,2.9782774
652,39117,56.60328,57.1,2.1718488
653,20189,51.085995,56.7,5.2797318
654,29217,27.525301,23.8,3.1442623
655,19099,64.50456,63.8,2.5087533
656,29131,36.163677,42.0,4.109935
657,19065,55.46445,54.5,1.9735335
658,27029,39.6709,42.1,4.0514956
659,27003,33.65127,39.9,5.3593597
660,20161,28.18935,28.7,3.2148325
661,55061,50.7105,52.2,3.3365521
662,18067,66.20635,65.0,2.1918387
663,27159,37.800343,38.5,3.7571654
664,19135,51.551006,50.9,3.0414908
665,29167,33.182133,39.6,3.8367257
666,27065,36.93292,40.8,4.219254
667,17165,56.511044,55.3,2.966924
668,26127,43.1363,38.3,3.1363604
669,55097,41.77955,45.2,3.6035419
670,20197,29.556187,19.1,3.7138267
671,18103,61.52563,60.1,2.3441525
673,31041,50.77075,53.1,2.6358297
674,19107,62.211098,61.1,2.4807022
675,27101,48.732647,51.8,2.5651934
676,17201,54.24894,52.4,2.4615808
677,26163,43.673786,42.4,4.0520735
678,55133,46.540813,48.0,3.354031
679,18139,63.93794,63.5,2.0937278
680,31111,54.99321,70.7,3.205011
681,31077,53.309315,53.4,2.8189812
682,19143,57.910786,61.9,2.0629547
683,17041,68.64368,68.1,2.416511
684,27073,46.4066,50.5,2.7754028
685,17015,63.863216,70.4,2.2660391
686,55105,52.967308,54.0,2.525426
687,20013,60.619095,59.3,2.7509449
688,18175,60.187653,59.4,2.4231615
689,31147,58.636543,57.5,2.906896
691,26105,44.632812,45.4,2.9510624
692,19179,56.892895,61.7,2.5996084
693,29019,47.916367,43.3,2.8657665
694,27109,50.880016,50.0,2.4119463
695,55141,41.473118,43.3,3.82798
696,20049,14.656285,21.0,3.4806437
698,31183,55.546753,66.2,3.0192277
700,38043,36.503723,36.8,3.0422015
701,17113,66.43178,71.8,2.153058
702,46027,52.834976,47.9,2.4587498
703,38009,29.999378,27.9,3.0619082
704,39047,63.940777,60.3,2.1500342
705,20119,53.196735,61.6,4.161815
706,29211,44.57877,39.4,2.902238
707,20085,39.691994,40.8,3.2989836
709,29117,49.91953,43.5,2.7073371
710,29027,49.112667,45.7,2.9020267
711,38079,29.462898,24.8,3.1689796
712,17149,63.27456,59.9,3.0060918
713,39083,56.827187,55.6,2.1636977
714,20155,20.405338,27.8,3.6837404
715,29089,49.613327,47.4,2.9179091
716,19031,61.866177,62.2,2.14198
717,38051,37.737984,38.4,2.9325957
