,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
128,18127,4.071617,4.07165,60.49951,60.5,0.17389236,-0.00048828125
129,18133,4.190537,3.95724,62.26652,58.800003,0.17139363,3.4665184
130,18135,4.2596917,4.18606,63.294083,62.2,0.14902578,1.0940819
131,18137,3.500886,3.51979,52.019108,52.3,0.18055762,-0.28089142
132,18139,4.174513,4.06492,62.028423,60.4,0.1535196,1.6284218
133,18141,3.8869846,3.73515,57.75609,55.500004,0.16373292,2.2560844
134,18143,3.4495113,3.30443,51.25574,49.100002,0.19757304,2.1557388
135,18145,4.0016284,3.82264,59.45956,56.8,0.15809834,2.6595612
136,18147,4.016529,4.038,59.68097,60.000004,0.22528695,-0.31903458
137,18151,3.5279083,3.76207,52.420628,55.9,0.17316857,-3.479374
138,18153,4.0346966,4.16587,59.950916,61.900005,0.2100175,-1.949089
139,18155,3.4209483,3.2977,50.831326,49.0,0.26754653,1.8313255
140,18157,4.0611267,3.95724,60.343636,58.800003,0.17760985,1.5436325
141,18159,4.502327,4.65716,66.89936,69.2,0.14359894,-2.3006363
142,18161,4.1784525,4.07838,62.086964,60.600002,0.15789413,1.4869614
143,18163,4.0896697,4.93309,60.767754,73.3,0.21064055,-12.532249
144,18165,4.2019434,4.33412,62.43601,64.399994,0.18215741,-1.9639854
145,18167,3.7353349,3.93032,55.502747,58.4,0.19656377,-2.897255
146,18169,4.0795016,3.74861,60.616665,55.7,0.15627177,4.916664
147,18171,4.2363815,4.26682,62.94772,63.4,0.18369792,-0.45228195
148,18177,4.0489326,4.06492,60.162445,60.4,0.16708294,-0.23755646
149,18179,4.3272395,4.4418,64.29777,66.0,0.14838862,-1.7022324
150,18183,3.9771688,4.15241,59.09612,61.7,0.15331206,-2.6038818
151,19005,3.7819371,4.16587,56.1952,61.900005,0.15715472,-5.7048035
152,19007,3.4305885,3.86975,50.97457,57.5,0.17464396,-6.525429
153,19009,4.260117,4.52929,63.300404,67.3,0.1683758,-3.9995995
154,19011,4.191929,4.51583,62.287205,67.1,0.15021087,-4.8127937
155,19013,3.9278076,4.04473,58.362667,60.100002,0.1437022,-1.7373352
156,19015,3.9012718,4.33412,57.96838,64.399994,0.1732381,-6.431614
157,19017,4.1009803,4.1726,60.935814,61.999996,0.14629707,-1.0641823
158,19019,4.064847,4.26682,60.398914,63.4,0.1419753,-3.0010872
159,19021,4.136877,4.29374,61.4692,63.8,0.14299716,-2.330799
160,19023,4.0462785,4.09184,60.12301,60.8,0.16306987,-0.6769905
161,19025,4.0821104,4.27355,60.65543,63.5,0.14692436,-2.8445702
162,19027,4.2048864,4.39469,62.47974,65.3,0.17830394,-2.820263
163,19029,4.1049323,4.26009,60.994537,63.3,0.18513186,-2.305462
164,19031,4.269158,4.39469,63.43474,65.3,0.12580793,-1.8652649
165,19033,3.9450426,4.1053,58.618763,61.0,0.14434364,-2.381237
166,19039,3.4052906,3.88321,50.59867,57.7,0.18710043,-7.10133
